# file...... results_be84c1a6.csv
# date...... Wed Nov  5 17:14:44 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 900
# limit..... 10000
# timestamp,house:total_load,washing_machine:base_power,dishwasher:base_power, indoor_lights:base_power, house:heating_setpoint, house:system_mode, house:hvac_load, house:air_temperature, house:outdoor_temperature, house:cooling_demand, house:air_mass
2024-07-01 00:00:00 PST,+0.147368,+0,+0,+0.14,+70,OFF,+0,+70.0738,+52.702,+0.000503589,+1176
2024-07-01 00:15:00 PST,+0.147368,+0,+0,+0.14,+70,OFF,+0,+69.1185,+52.702,+0.000503589,+1176
2024-07-01 00:30:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923,+68.7554,+52.702,+0.000503589,+1176
2024-07-01 00:45:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923,+68.4102,+52.702,+0.000503589,+1176
2024-07-01 01:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923,+68.0719,+52.342,+0.000500825,+1176
2024-07-01 01:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923,+67.7168,+52.342,+0.000500825,+1176
2024-07-01 01:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923,+67.3831,+52.342,+0.000500825,+1176
2024-07-01 01:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923,+67.0582,+52.342,+0.000500825,+1176
2024-07-01 02:00:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+66.7412,+51.622,+0.000495264,+1176
2024-07-01 02:15:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+66.388,+51.622,+0.000495264,+1176
2024-07-01 02:30:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+66.0667,+51.622,+0.000495264,+1176
2024-07-01 02:45:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+65.7545,+51.622,+0.000495264,+1176
2024-07-01 03:00:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+65.45,+50.542,+0.000486843,+1176
2024-07-01 03:15:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+65.0911,+50.542,+0.000486843,+1176
2024-07-01 03:30:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+64.7746,+50.542,+0.000486843,+1176
2024-07-01 03:45:00 PST,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923,+64.4676,+50.542,+0.000486843,+1176
2024-07-01 04:00:00 PST,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923,+64.1682,+53.422,+0.000509085,+1176
2024-07-01 04:15:00 PST,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923,+64.1838,+53.422,+0.000509085,+1176
2024-07-01 04:30:00 PST,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923,+64.0637,+53.422,+0.000509085,+1176
2024-07-01 04:45:00 PST,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923,+63.9398,+53.422,+0.000509085,+1176
2024-07-01 05:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923,+63.8185,+57.562,+0.000539855,+1176
2024-07-01 05:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923,+64.2774,+57.562,+0.000539855,+1176
2024-07-01 05:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923,+64.487,+57.562,+0.000539855,+1176
2024-07-01 05:45:00 PST,+0.36456,+0.1,+0,+0.15,+70,HEAT,+0.105923,+64.6805,+57.562,+0.000539855,+1176
2024-07-01 06:00:00 PST,+2.63265,+2.2,+0,+0.225,+70,HEAT,+0.105923,+64.8865,+62.962,+0.000577856,+1176
2024-07-01 06:15:00 PST,+0.443187,+0.1,+0,+0.225,+70,HEAT,+0.105923,+65.5297,+62.962,+0.000577856,+1176
2024-07-01 06:30:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923,+65.9407,+62.962,+0.000577856,+1176
2024-07-01 06:45:00 PST,+2.63265,+2.2,+0,+0.225,+70,HEAT,+0.105923,+66.335,+62.962,+0.000577856,+1176
2024-07-01 07:00:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923,+66.7281,+68.002,+0.000611144,+1176
2024-07-01 07:15:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923,+67.432,+68.002,+0.000611144,+1176
2024-07-01 07:30:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923,+67.9492,+68.002,+0.000611144,+1176
2024-07-01 07:45:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923,+68.4453,+68.002,+0.000611144,+1176
2024-07-01 08:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923,+68.9288,+73.042,+0.000642329,+1176
2024-07-01 08:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923,+69.6666,+73.042,+0.000642329,+1176
2024-07-01 08:30:00 PST,+0.157895,+0,+0,+0.15,+70,OFF,+0,+70.2069,+73.042,+0.000642329,+1176
2024-07-01 08:45:00 PST,+0.157895,+0,+0,+0.15,+70,OFF,+0,+70.728,+73.042,+0.000642329,+1176
2024-07-01 09:00:00 PST,+0.115789,+0,+0,+0.11,+70,OFF,+0,+71.2432,+78.082,+0.00067141,+1176
2024-07-01 09:15:00 PST,+0.115789,+0,+0,+0.11,+70,OFF,+0,+71.9699,+78.082,+0.00067141,+1176
