# file...... results_6b6b89a8.csv
# date...... Wed Dec 10 15:36:52 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real
2024-01-01 00:00:00 PST,+4.06273,+0,+68.1054,+52.52,+0,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:01:00 PST,+4.06273,+0,+68.1139,+52.52,+64.9167,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:02:00 PST,+4.06273,+0,+68.1239,+52.52,+129.833,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:03:00 PST,+4.06273,+0,+68.1348,+52.52,+194.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:04:00 PST,+4.06273,+0,+68.1465,+52.52,+259.667,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:05:00 PST,+4.06273,+0,+68.1588,+52.52,+324.583,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:06:00 PST,+4.06273,+0,+68.1715,+52.52,+389.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:07:00 PST,+4.06273,+0,+68.1846,+52.52,+454.417,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:08:00 PST,+4.06273,+0,+68.1979,+52.52,+519.333,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:09:00 PST,+4.06273,+0,+68.2113,+52.52,+584.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:10:00 PST,+4.06273,+0,+68.2249,+52.52,+649.167,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:11:00 PST,+4.06273,+0,+68.2386,+52.52,+714.083,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:12:00 PST,+4.06273,+0,+68.2524,+52.52,+779,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:13:00 PST,+4.06273,+0,+68.2662,+52.52,+843.917,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:14:00 PST,+4.06273,+0,+68.28,+52.52,+908.833,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:15:00 PST,+4.06273,+0,+68.2939,+52.52,+973.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:16:00 PST,+4.06273,+0,+68.3078,+52.52,+1038.67,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:17:00 PST,+4.06273,+0,+68.3217,+52.52,+1103.58,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:18:00 PST,+4.06273,+0,+68.3356,+52.52,+1168.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:19:00 PST,+4.06273,+0,+68.3495,+52.52,+1233.42,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:20:00 PST,+4.06273,+0,+68.3634,+52.52,+1298.33,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:21:00 PST,+4.06273,+0,+68.3773,+52.52,+1363.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:22:00 PST,+4.06273,+0,+68.3912,+52.52,+1428.17,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:23:00 PST,+4.06273,+0,+68.405,+52.52,+1493.08,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:24:00 PST,+4.06273,+0,+68.4189,+52.52,+1558,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:25:00 PST,+4.06273,+0,+68.4328,+52.52,+1622.92,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:26:00 PST,+4.06273,+0,+68.4466,+52.52,+1687.83,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:27:00 PST,+4.06273,+0,+68.4605,+52.52,+1752.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:28:00 PST,+4.06273,+0,+68.4743,+52.52,+1817.67,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:29:00 PST,+4.06273,+0,+68.4882,+52.52,+1882.58,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:30:00 PST,+4.06273,+0,+68.502,+52.52,+1947.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:31:00 PST,+4.06273,+0,+68.5158,+52.52,+2012.42,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:32:00 PST,+4.06273,+0,+68.5296,+52.52,+2077.33,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:33:00 PST,+4.06273,+0,+68.5434,+52.52,+2142.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:34:00 PST,+4.06273,+0,+68.5572,+52.52,+2207.17,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:35:00 PST,+4.06273,+0,+68.571,+52.52,+2272.08,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:36:00 PST,+4.06273,+0,+68.5847,+52.52,+2337,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:37:00 PST,+4.06273,+0,+68.5985,+52.52,+2401.92,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:38:00 PST,+4.06273,+0,+68.6122,+52.52,+2466.83,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:39:00 PST,+4.06273,+0,+68.6259,+52.52,+2531.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:40:00 PST,+4.06273,+0,+68.6397,+52.52,+2596.67,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:41:00 PST,+4.06273,+0,+68.6534,+52.52,+2661.58,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:42:00 PST,+4.06273,+0,+68.6671,+52.52,+2726.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:43:00 PST,+4.06273,+0,+68.6808,+52.52,+2791.42,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
