# file...... results_e560ce45.csv
# date...... Wed Jan 14 14:40:01 2026
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 999999
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature,house:hvac_load,refrigerator:base_power,misc_appliances:base_power
2024-07-01 00:00:00 PST,+3.98008,+68.1054,+56.822,+0,+0.06,+0.06
2024-07-01 00:01:00 PST,+3.98008,+68.0428,+56.822,+0,+0.06,+0.06
2024-07-01 00:02:00 PST,+3.98008,+67.9959,+56.822,+0,+0.06,+0.06
2024-07-01 00:03:00 PST,+3.98008,+67.9607,+56.822,+0,+0.06,+0.06
2024-07-01 00:04:00 PST,+3.98008,+67.9342,+56.822,+0,+0.06,+0.06
2024-07-01 00:05:00 PST,+3.98008,+67.9142,+56.822,+0,+0.06,+0.06
2024-07-01 00:06:00 PST,+3.98008,+67.8991,+56.822,+0,+0.06,+0.06
2024-07-01 00:07:00 PST,+3.98008,+67.8877,+56.822,+0,+0.06,+0.06
2024-07-01 00:08:00 PST,+3.98008,+67.8789,+56.822,+0,+0.06,+0.06
2024-07-01 00:09:00 PST,+3.98008,+67.8722,+56.822,+0,+0.06,+0.06
2024-07-01 00:10:00 PST,+3.98008,+67.8669,+56.822,+0,+0.06,+0.06
2024-07-01 00:11:00 PST,+3.98008,+67.8628,+56.822,+0,+0.06,+0.06
2024-07-01 00:12:00 PST,+3.98008,+67.8595,+56.822,+0,+0.06,+0.06
2024-07-01 00:13:00 PST,+3.98008,+67.8569,+56.822,+0,+0.06,+0.06
2024-07-01 00:14:00 PST,+3.98008,+67.8547,+56.822,+0,+0.06,+0.06
2024-07-01 00:15:00 PST,+3.98008,+67.8529,+56.822,+0,+0.06,+0.06
2024-07-01 00:16:00 PST,+3.98008,+67.8513,+56.822,+0,+0.06,+0.06
2024-07-01 00:17:00 PST,+3.98008,+67.85,+56.822,+0,+0.06,+0.06
2024-07-01 00:18:00 PST,+3.98008,+67.8488,+56.822,+0,+0.06,+0.06
2024-07-01 00:19:00 PST,+3.98008,+67.8477,+56.822,+0,+0.06,+0.06
2024-07-01 00:20:00 PST,+3.98008,+67.8466,+56.822,+0,+0.06,+0.06
2024-07-01 00:21:00 PST,+3.98008,+67.8457,+56.822,+0,+0.06,+0.06
2024-07-01 00:22:00 PST,+3.98008,+67.8447,+56.822,+0,+0.06,+0.06
2024-07-01 00:23:00 PST,+3.98008,+67.8439,+56.822,+0,+0.06,+0.06
2024-07-01 00:24:00 PST,+3.98008,+67.843,+56.822,+0,+0.06,+0.06
2024-07-01 00:25:00 PST,+3.98008,+67.8422,+56.822,+0,+0.06,+0.06
2024-07-01 00:26:00 PST,+3.98008,+67.8414,+56.822,+0,+0.06,+0.06
2024-07-01 00:27:00 PST,+3.98008,+67.8406,+56.822,+0,+0.06,+0.06
2024-07-01 00:28:00 PST,+3.98008,+67.8398,+56.822,+0,+0.06,+0.06
2024-07-01 00:29:00 PST,+3.98008,+67.839,+56.822,+0,+0.06,+0.06
2024-07-01 00:30:00 PST,+3.98008,+67.8382,+56.822,+0,+0.06,+0.06
2024-07-01 00:31:00 PST,+3.98008,+67.8374,+56.822,+0,+0.06,+0.06
2024-07-01 00:32:00 PST,+3.98008,+67.8366,+56.822,+0,+0.06,+0.06
2024-07-01 00:33:00 PST,+3.98008,+67.8359,+56.822,+0,+0.06,+0.06
2024-07-01 00:34:00 PST,+3.98008,+67.8351,+56.822,+0,+0.06,+0.06
2024-07-01 00:35:00 PST,+3.98008,+67.8343,+56.822,+0,+0.06,+0.06
2024-07-01 00:36:00 PST,+3.98008,+67.8336,+56.822,+0,+0.06,+0.06
2024-07-01 00:37:00 PST,+3.98008,+67.8328,+56.822,+0,+0.06,+0.06
2024-07-01 00:38:00 PST,+3.98008,+67.8321,+56.822,+0,+0.06,+0.06
2024-07-01 00:39:00 PST,+3.98008,+67.8313,+56.822,+0,+0.06,+0.06
2024-07-01 00:40:00 PST,+3.98008,+67.8305,+56.822,+0,+0.06,+0.06
2024-07-01 00:41:00 PST,+3.98008,+67.8298,+56.822,+0,+0.06,+0.06
2024-07-01 00:42:00 PST,+3.98008,+67.829,+56.822,+0,+0.06,+0.06
2024-07-01 00:43:00 PST,+3.98008,+67.8283,+56.822,+0,+0.06,+0.06
2024-07-01 00:44:00 PST,+3.98008,+67.8275,+56.822,+0,+0.06,+0.06
2024-07-01 00:45:00 PST,+3.98008,+67.8268,+56.822,+0,+0.06,+0.06
2024-07-01 00:46:00 PST,+3.98008,+67.8261,+56.822,+0,+0.06,+0.06
2024-07-01 00:47:00 PST,+3.98008,+67.8253,+56.822,+0,+0.06,+0.06
2024-07-01 00:48:00 PST,+3.98008,+67.8246,+56.822,+0,+0.06,+0.06
2024-07-01 00:49:00 PST,+3.98008,+67.8238,+56.822,+0,+0.06,+0.06
2024-07-01 00:50:00 PST,+3.98008,+67.8231,+56.822,+0,+0.06,+0.06
2024-07-01 00:51:00 PST,+3.98008,+67.8224,+56.822,+0,+0.06,+0.06
2024-07-01 00:52:00 PST,+3.98008,+67.8216,+56.822,+0,+0.06,+0.06
2024-07-01 00:53:00 PST,+3.98008,+67.8209,+56.822,+0,+0.06,+0.06
2024-07-01 00:54:00 PST,+3.98008,+67.8202,+56.822,+0,+0.06,+0.06
2024-07-01 00:55:00 PST,+3.98008,+67.8195,+56.822,+0,+0.06,+0.06
2024-07-01 00:56:00 PST,+3.98008,+67.8187,+56.822,+0,+0.06,+0.06
2024-07-01 00:57:00 PST,+3.98008,+67.818,+56.822,+0,+0.06,+0.06
2024-07-01 00:58:00 PST,+3.98008,+67.8173,+56.822,+0,+0.06,+0.06
2024-07-01 00:59:00 PST,+3.98008,+67.8166,+56.822,+0,+0.06,+0.06
2024-07-01 01:00:00 PST,+3.94971,+67.8158,+55.904,+0,+0.057,+0.055
2024-07-01 01:01:00 PST,+3.94971,+67.8041,+55.904,+0,+0.057,+0.055
2024-07-01 01:02:00 PST,+3.94971,+67.7944,+55.904,+0,+0.057,+0.055
2024-07-01 01:03:00 PST,+3.94971,+67.7863,+55.904,+0,+0.057,+0.055
2024-07-01 01:04:00 PST,+3.94971,+67.7794,+55.904,+0,+0.057,+0.055
2024-07-01 01:05:00 PST,+3.94971,+67.7734,+55.904,+0,+0.057,+0.055
2024-07-01 01:06:00 PST,+3.94971,+67.768,+55.904,+0,+0.057,+0.055
2024-07-01 01:07:00 PST,+3.94971,+67.7632,+55.904,+0,+0.057,+0.055
2024-07-01 01:08:00 PST,+3.94971,+67.7587,+55.904,+0,+0.057,+0.055
2024-07-01 01:09:00 PST,+3.94971,+67.7545,+55.904,+0,+0.057,+0.055
2024-07-01 01:10:00 PST,+3.94971,+67.7505,+55.904,+0,+0.057,+0.055
2024-07-01 01:11:00 PST,+3.94971,+67.7467,+55.904,+0,+0.057,+0.055
2024-07-01 01:12:00 PST,+3.94971,+67.743,+55.904,+0,+0.057,+0.055
2024-07-01 01:13:00 PST,+3.94971,+67.7393,+55.904,+0,+0.057,+0.055
2024-07-01 01:14:00 PST,+3.94971,+67.7358,+55.904,+0,+0.057,+0.055
2024-07-01 01:15:00 PST,+3.94971,+67.7323,+55.904,+0,+0.057,+0.055
2024-07-01 01:16:00 PST,+3.94971,+67.7288,+55.904,+0,+0.057,+0.055
2024-07-01 01:17:00 PST,+3.94971,+67.7254,+55.904,+0,+0.057,+0.055
2024-07-01 01:18:00 PST,+3.94971,+67.722,+55.904,+0,+0.057,+0.055
2024-07-01 01:19:00 PST,+3.94971,+67.7187,+55.904,+0,+0.057,+0.055
2024-07-01 01:20:00 PST,+3.94971,+67.7153,+55.904,+0,+0.057,+0.055
2024-07-01 01:21:00 PST,+3.94971,+67.712,+55.904,+0,+0.057,+0.055
2024-07-01 01:22:00 PST,+3.94971,+67.7087,+55.904,+0,+0.057,+0.055
2024-07-01 01:23:00 PST,+3.94971,+67.7054,+55.904,+0,+0.057,+0.055
2024-07-01 01:24:00 PST,+3.94971,+67.7021,+55.904,+0,+0.057,+0.055
2024-07-01 01:25:00 PST,+3.94971,+67.6988,+55.904,+0,+0.057,+0.055
2024-07-01 01:26:00 PST,+3.94971,+67.6956,+55.904,+0,+0.057,+0.055
2024-07-01 01:27:00 PST,+3.94971,+67.6923,+55.904,+0,+0.057,+0.055
2024-07-01 01:28:00 PST,+3.94971,+67.689,+55.904,+0,+0.057,+0.055
2024-07-01 01:29:00 PST,+3.94971,+67.6858,+55.904,+0,+0.057,+0.055
2024-07-01 01:30:00 PST,+3.94971,+67.6826,+55.904,+0,+0.057,+0.055
2024-07-01 01:31:00 PST,+3.94971,+67.6794,+55.904,+0,+0.057,+0.055
2024-07-01 01:32:00 PST,+3.94971,+67.6761,+55.904,+0,+0.057,+0.055
2024-07-01 01:33:00 PST,+3.94971,+67.6729,+55.904,+0,+0.057,+0.055
2024-07-01 01:34:00 PST,+3.94971,+67.6697,+55.904,+0,+0.057,+0.055
2024-07-01 01:35:00 PST,+3.94971,+67.6665,+55.904,+0,+0.057,+0.055
