# file...... results_d2a3fd4f.csv
# date...... Mon Dec  1 17:05:11 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 4
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real, house:cooling_demand, house:heating_demand, house:system_mode
2024-07-01 00:00:00 PDT,+4.06198,+0.0529616,+68.04,+52.702,+0,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:01:00 PDT,+4.06198,+0.0529616,+67.9407,+52.702,+64.9828,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:02:00 PDT,+4.06198,+0.0529616,+67.8643,+52.702,+129.966,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:03:00 PDT,+4.06198,+0.0529616,+67.8053,+52.702,+194.948,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:04:00 PDT,+4.06198,+0.0529616,+67.759,+52.702,+259.931,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:05:00 PDT,+4.06198,+0.0529616,+67.7224,+52.702,+324.914,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:06:00 PDT,+4.06198,+0.0529616,+67.6929,+52.702,+389.897,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:07:00 PDT,+4.06198,+0.0529616,+67.6688,+52.702,+454.879,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:08:00 PDT,+4.06198,+0.0529616,+67.6487,+52.702,+519.862,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:09:00 PDT,+4.06198,+0.0529616,+67.6316,+52.702,+584.845,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:10:00 PDT,+4.06198,+0.0529616,+67.6167,+52.702,+649.828,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:11:00 PDT,+4.06198,+0.0529616,+67.6035,+52.702,+714.811,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:12:00 PDT,+4.06198,+0.0529616,+67.5916,+52.702,+779.793,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:13:00 PDT,+4.06198,+0.0529616,+67.5805,+52.702,+844.776,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:14:00 PDT,+4.06198,+0.0529616,+67.5702,+52.702,+909.759,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:15:00 PDT,+4.06198,+0.0529616,+67.5605,+52.702,+974.742,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:16:00 PDT,+4.06198,+0.0529616,+67.5511,+52.702,+1039.72,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:17:00 PDT,+4.06198,+0.0529616,+67.5421,+52.702,+1104.71,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:18:00 PDT,+4.06198,+0.0529616,+67.5332,+52.702,+1169.69,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:19:00 PDT,+4.06198,+0.0529616,+67.5246,+52.702,+1234.67,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:20:00 PDT,+4.06198,+0.0529616,+67.5161,+52.702,+1299.66,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:21:00 PDT,+4.06198,+0.0529616,+67.5077,+52.702,+1364.64,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:22:00 PDT,+4.06198,+0.0529616,+67.4994,+52.702,+1429.62,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:23:00 PDT,+4.06198,+0.0529616,+67.4911,+52.702,+1494.6,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:24:00 PDT,+4.06198,+0.0529616,+67.483,+52.702,+1559.59,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:25:00 PDT,+4.06198,+0.0529616,+67.4748,+52.702,+1624.57,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:26:00 PDT,+4.06198,+0.0529616,+67.4667,+52.702,+1689.55,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:27:00 PDT,+4.06198,+0.0529616,+67.4587,+52.702,+1754.54,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:28:00 PDT,+4.06198,+0.0529616,+67.4507,+52.702,+1819.52,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
2024-07-01 00:29:00 PDT,+4.06198,+0.0529616,+67.4427,+52.702,+1884.5,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.671452,+3.517,OFF
