# file...... results_7f617d6f.csv
# date...... Thu Nov  6 13:08:03 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 4
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real
2024-07-01 00:00:00 PDT,+0.206316,+0,+70.6944,+52.702,+0,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:01:00 PDT,+0.206316,+0,+70.5103,+52.702,+3.26667,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:02:00 PDT,+0.206316,+0,+70.3631,+52.702,+6.53333,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:03:00 PDT,+0.206316,+0,+70.2434,+52.702,+9.8,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:04:00 PDT,+0.206316,+0,+70.1443,+52.702,+13.0667,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:05:00 PDT,+0.206316,+0,+70.0606,+52.702,+16.3333,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:06:00 PDT,+0.206316,+0,+69.9883,+52.702,+19.6,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:07:00 PDT,+0.206316,+0,+69.9247,+52.702,+22.8667,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:08:00 PDT,+0.206316,+0,+69.8674,+52.702,+26.1333,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:09:00 PDT,+0.206316,+0,+69.8151,+52.702,+29.4,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:10:00 PDT,+0.206316,+0,+69.7663,+52.702,+32.6667,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:11:00 PDT,+0.206316,+0,+69.7203,+52.702,+35.9333,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:12:00 PDT,+0.206316,+0,+69.6763,+52.702,+39.2,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:13:00 PDT,+0.206316,+0,+69.634,+52.702,+42.4667,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:14:00 PDT,+0.206316,+0,+69.5928,+52.702,+45.7333,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:15:00 PDT,+0.206316,+0,+69.5525,+52.702,+49,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:16:00 PDT,+0.206316,+0,+69.5129,+52.702,+52.2667,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
2024-07-01 00:17:00 PDT,+0.206316,+0,+69.4739,+52.702,+55.5333,+196,+0,+0+0i,+0,+131,+0,+0,+0,+3500,+150,+0.168,+0.028
