# file...... results_01448252.csv
# date...... Thu Jan  8 19:23:12 2026
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature
2024-07-01 00:00:00 PST,+4.01118,+68.1054,+56.822
2024-07-01 00:01:00 PST,+4.01118,+68.0769,+56.822
2024-07-01 00:02:00 PST,+4.01118,+68.0606,+56.822
2024-07-01 00:03:00 PST,+4.01118,+68.053,+56.822
2024-07-01 00:04:00 PST,+4.01118,+68.0518,+56.822
2024-07-01 00:05:00 PST,+4.01118,+68.0551,+56.822
2024-07-01 00:06:00 PST,+4.01118,+68.0616,+56.822
2024-07-01 00:07:00 PST,+4.01118,+68.0705,+56.822
2024-07-01 00:08:00 PST,+4.01118,+68.0811,+56.822
2024-07-01 00:09:00 PST,+4.01118,+68.0929,+56.822
2024-07-01 00:10:00 PST,+4.01118,+68.1055,+56.822
2024-07-01 00:11:00 PST,+4.01118,+68.1188,+56.822
2024-07-01 00:12:00 PST,+4.01118,+68.1325,+56.822
2024-07-01 00:13:00 PST,+4.01118,+68.1464,+56.822
2024-07-01 00:14:00 PST,+4.01118,+68.1606,+56.822
2024-07-01 00:15:00 PST,+4.01118,+68.1749,+56.822
2024-07-01 00:16:00 PST,+4.01118,+68.1893,+56.822
2024-07-01 00:17:00 PST,+4.01118,+68.2037,+56.822
2024-07-01 00:18:00 PST,+4.01118,+68.2182,+56.822
2024-07-01 00:19:00 PST,+4.01118,+68.2326,+56.822
2024-07-01 00:20:00 PST,+4.01118,+68.2471,+56.822
2024-07-01 00:21:00 PST,+4.01118,+68.2615,+56.822
2024-07-01 00:22:00 PST,+4.01118,+68.2759,+56.822
2024-07-01 00:23:00 PST,+4.01118,+68.2903,+56.822
2024-07-01 00:24:00 PST,+4.01118,+68.3047,+56.822
2024-07-01 00:25:00 PST,+4.01118,+68.319,+56.822
2024-07-01 00:26:00 PST,+4.01118,+68.3333,+56.822
2024-07-01 00:27:00 PST,+4.01118,+68.3475,+56.822
2024-07-01 00:28:00 PST,+4.01118,+68.3617,+56.822
2024-07-01 00:29:00 PST,+4.01118,+68.3759,+56.822
2024-07-01 00:30:00 PST,+4.01118,+68.39,+56.822
2024-07-01 00:31:00 PST,+4.01118,+68.4041,+56.822
2024-07-01 00:32:00 PST,+4.01118,+68.4182,+56.822
2024-07-01 00:33:00 PST,+4.01118,+68.4322,+56.822
2024-07-01 00:34:00 PST,+4.01118,+68.4461,+56.822
2024-07-01 00:35:00 PST,+4.01118,+68.4601,+56.822
2024-07-01 00:36:00 PST,+4.01118,+68.4739,+56.822
2024-07-01 00:37:00 PST,+4.01118,+68.4878,+56.822
2024-07-01 00:38:00 PST,+4.01118,+68.5016,+56.822
2024-07-01 00:39:00 PST,+4.01118,+68.5154,+56.822
2024-07-01 00:40:00 PST,+4.01118,+68.5291,+56.822
2024-07-01 00:41:00 PST,+4.01118,+68.5428,+56.822
2024-07-01 00:42:00 PST,+4.01118,+68.5564,+56.822
2024-07-01 00:43:00 PST,+4.01118,+68.5701,+56.822
2024-07-01 00:44:00 PST,+4.01118,+68.5836,+56.822
2024-07-01 00:45:00 PST,+4.01118,+68.5972,+56.822
2024-07-01 00:46:00 PST,+4.01118,+68.6107,+56.822
2024-07-01 00:47:00 PST,+4.01118,+68.6241,+56.822
2024-07-01 00:48:00 PST,+4.01118,+68.6375,+56.822
2024-07-01 00:49:00 PST,+4.01118,+68.6509,+56.822
2024-07-01 00:50:00 PST,+4.01118,+68.6643,+56.822
2024-07-01 00:51:00 PST,+4.01118,+68.6776,+56.822
2024-07-01 00:52:00 PST,+4.01118,+68.6908,+56.822
2024-07-01 00:53:00 PST,+4.01118,+68.704,+56.822
2024-07-01 00:54:00 PST,+4.01118,+68.7172,+56.822
2024-07-01 00:55:00 PST,+4.01118,+68.7304,+56.822
2024-07-01 00:56:00 PST,+4.01118,+68.7435,+56.822
2024-07-01 00:57:00 PST,+4.01118,+68.7566,+56.822
2024-07-01 00:58:00 PST,+4.01118,+68.7696,+56.822
2024-07-01 00:59:00 PST,+4.01118,+68.7826,+56.822
2024-07-01 01:00:00 PST,+3.98908,+68.7956,+55.904
2024-07-01 01:01:00 PST,+3.98908,+68.7974,+55.904
2024-07-01 01:02:00 PST,+3.98908,+68.8013,+55.904
2024-07-01 01:03:00 PST,+3.98908,+68.8069,+55.904
2024-07-01 01:04:00 PST,+3.98908,+68.8136,+55.904
2024-07-01 01:05:00 PST,+3.98908,+68.8211,+55.904
2024-07-01 01:06:00 PST,+3.98908,+68.8291,+55.904
2024-07-01 01:07:00 PST,+3.98908,+68.8376,+55.904
2024-07-01 01:08:00 PST,+3.98908,+68.8463,+55.904
2024-07-01 01:09:00 PST,+3.98908,+68.8553,+55.904
2024-07-01 01:10:00 PST,+3.98908,+68.8644,+55.904
2024-07-01 01:11:00 PST,+3.98908,+68.8735,+55.904
2024-07-01 01:12:00 PST,+3.98908,+68.8828,+55.904
2024-07-01 01:13:00 PST,+3.98908,+68.8921,+55.904
2024-07-01 01:14:00 PST,+3.98908,+68.9013,+55.904
2024-07-01 01:15:00 PST,+3.98908,+68.9106,+55.904
2024-07-01 01:16:00 PST,+3.98908,+68.9199,+55.904
2024-07-01 01:17:00 PST,+3.98908,+68.9292,+55.904
2024-07-01 01:18:00 PST,+3.98908,+68.9385,+55.904
2024-07-01 01:19:00 PST,+3.98908,+68.9477,+55.904
2024-07-01 01:20:00 PST,+3.98908,+68.9569,+55.904
2024-07-01 01:21:00 PST,+3.98908,+68.9661,+55.904
2024-07-01 01:22:00 PST,+3.98908,+68.9753,+55.904
2024-07-01 01:23:00 PST,+3.98908,+68.9844,+55.904
2024-07-01 01:24:00 PST,+3.98908,+68.9936,+55.904
2024-07-01 01:25:00 PST,+3.98908,+69.0027,+55.904
