# file...... results_b336cb66.csv
# date...... Tue Jan 13 17:57:07 2026
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 999999
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature,house:hvac_load,refrigerator:base_power,dishwasher:base_power,washing_machine:base_power,indoor_lights:power.real,exterior_lights:power.real,main_wh:power.real,oven:base_power
2024-07-01 00:00:00 PST,+3.91751,+68.1054,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:01:00 PST,+3.91751,+68.042,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:02:00 PST,+3.91751,+67.9944,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:03:00 PST,+3.91751,+67.9586,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:04:00 PST,+3.91751,+67.9316,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:05:00 PST,+3.91751,+67.9112,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:06:00 PST,+3.91751,+67.8957,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:07:00 PST,+3.91751,+67.8838,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:08:00 PST,+3.91751,+67.8746,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:09:00 PST,+3.91751,+67.8675,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:10:00 PST,+3.91751,+67.8619,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:11:00 PST,+3.91751,+67.8574,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:12:00 PST,+3.91751,+67.8538,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:13:00 PST,+3.91751,+67.8508,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:14:00 PST,+3.91751,+67.8482,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:15:00 PST,+3.91751,+67.8461,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:16:00 PST,+3.91751,+67.8442,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:17:00 PST,+3.91751,+67.8425,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:18:00 PST,+3.91751,+67.8409,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:19:00 PST,+3.91751,+67.8395,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:20:00 PST,+3.91751,+67.8381,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:21:00 PST,+3.91751,+67.8368,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:22:00 PST,+3.91751,+67.8356,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:23:00 PST,+3.91751,+67.8343,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:24:00 PST,+3.91751,+67.8332,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:25:00 PST,+3.91751,+67.832,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:26:00 PST,+3.91751,+67.8308,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:27:00 PST,+3.91751,+67.8297,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:28:00 PST,+3.91751,+67.8286,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:29:00 PST,+3.91751,+67.8275,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:30:00 PST,+3.91751,+67.8264,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:31:00 PST,+3.91751,+67.8253,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:32:00 PST,+3.91751,+67.8242,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:33:00 PST,+3.91751,+67.8231,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:34:00 PST,+3.91751,+67.822,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:35:00 PST,+3.91751,+67.8209,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:36:00 PST,+3.91751,+67.8198,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:37:00 PST,+3.91751,+67.8187,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:38:00 PST,+3.91751,+67.8177,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:39:00 PST,+3.91751,+67.8166,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:40:00 PST,+3.91751,+67.8155,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:41:00 PST,+3.91751,+67.8144,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
2024-07-01 00:42:00 PST,+3.91751,+67.8134,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5
