# file...... results_be84c1a6.csv
# date...... Wed Nov  5 17:08:16 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 900
# limit..... 10000
# timestamp,house:total_load,washing_machine:base_power,dishwasher:base_power, indoor_lights:base_power, house:heating_setpoint, house:system_mode, house:hvac_load
2024-02-01 00:00:00 PST,+0.184211,+0,+0,+0.175,+70,OFF,+0
2024-02-01 00:15:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-01 00:30:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-01 00:45:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-01 01:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 01:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 01:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 01:45:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 02:00:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 02:15:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 02:30:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 02:45:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 03:00:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 03:15:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 03:30:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 03:45:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-01 04:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 04:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 04:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 04:45:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 05:00:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 05:15:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 05:30:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 05:45:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 06:00:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 06:15:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 06:30:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 06:45:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 07:00:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-01 07:15:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-01 07:30:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-01 07:45:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-01 08:00:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 08:15:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 08:30:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 08:45:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-01 09:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 09:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 09:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 09:45:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-01 10:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 10:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 10:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 10:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 11:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 11:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 11:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 11:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 12:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 12:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-01 12:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
