# file...... results_bb75afb7.csv
# date...... Wed Jan  7 16:43:11 2026
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real,house:hvac_power.real,house:hvac_last_on,house:hvac_duty_cycle,house:cooling_demand,house:heating_demand,house:heating_setpoint,house:cooling_setpoint,house:system_mode
2024-01-01 00:00:00 PST,+4.06273,+0,+68.1054,+38.174,+0,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:01:00 PST,+4.06273,+0,+67.8807,+38.174,+64.9167,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:02:00 PST,+4.06273,+0,+67.7092,+38.174,+129.833,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:03:00 PST,+4.06273,+0,+67.5761,+38.174,+194.75,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:04:00 PST,+4.06273,+0,+67.4708,+38.174,+259.667,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:05:00 PST,+4.06273,+0,+67.3855,+38.174,+324.583,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:06:00 PST,+4.06273,+0,+67.3147,+38.174,+389.5,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:07:00 PST,+4.06273,+0,+67.2545,+38.174,+454.417,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:08:00 PST,+4.06273,+0,+67.2018,+38.174,+519.333,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:09:00 PST,+4.06273,+0,+67.1546,+38.174,+584.25,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:10:00 PST,+4.06273,+0,+67.1114,+38.174,+649.167,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:11:00 PST,+4.06273,+0,+67.0711,+38.174,+714.083,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:12:00 PST,+4.06273,+0,+67.033,+38.174,+779,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:13:00 PST,+4.06273,+0,+66.9964,+38.174,+843.917,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:14:00 PST,+4.06273,+0,+66.961,+38.174,+908.833,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:15:00 PST,+4.06273,+0,+66.9264,+38.174,+973.75,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:16:00 PST,+4.06273,+0,+66.8925,+38.174,+1038.67,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:17:00 PST,+4.06273,+0,+66.8591,+38.174,+1103.58,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:18:00 PST,+4.06273,+0,+66.826,+38.174,+1168.5,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:19:00 PST,+4.06273,+0,+66.7933,+38.174,+1233.42,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:20:00 PST,+4.06273,+0,+66.7608,+38.174,+1298.33,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:21:00 PST,+4.06273,+0,+66.7285,+38.174,+1363.25,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:22:00 PST,+4.06273,+0,+66.6963,+38.174,+1428.17,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:23:00 PST,+4.06273,+0,+66.6643,+38.174,+1493.08,+3895,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0,INIT,+0,+0.365227,+0.541424,+68,+77,OFF
2024-01-01 00:24:00 PST,+4.68697,+0.647347,+66.6919,+38.174,+1563.93,+4542.35,+0,+0+0i,+0,+140,+0,+0,+0,+3.5,+0.15,+0.21,+0.035,+0.647347,2024-01-01 00:23:27 PST,+0,+0.365227,+0.541424,+68,+77,HEAT
