# file...... results_3bb41a92.csv
# date...... Wed Jan 14 13:57:58 2026
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 900
# limit..... 999999
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature,house:hvac_load,refrigerator:base_power,dishwasher:base_power,washing_machine:base_power,indoor_lights:power.real,exterior_lights:power.real,main_wh:power.real,oven:base_power,misc_appliances:base_power
2024-07-01 00:00:00 PST,+3.98008,+68.1054,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5,+0.06
2024-07-01 00:15:00 PST,+3.98008,+67.8529,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5,+0.06
2024-07-01 00:30:00 PST,+3.98008,+67.8382,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5,+0.06
2024-07-01 00:45:00 PST,+3.98008,+67.8268,+56.822,+0,+0.06,+0,+0,+0.168,+0.028,+0,+3.5,+0.06
2024-07-01 01:00:00 PST,+3.94971,+67.8158,+55.904,+0,+0.057,+0,+0,+0.15,+0.025,+0,+3.5,+0.055
2024-07-01 01:15:00 PST,+3.94971,+67.7323,+55.904,+0,+0.057,+0,+0,+0.15,+0.025,+0,+3.5,+0.055
2024-07-01 01:30:00 PST,+3.94971,+67.6826,+55.904,+0,+0.057,+0,+0,+0.15,+0.025,+0,+3.5,+0.055
2024-07-01 01:45:00 PST,+3.94971,+67.6351,+55.904,+0,+0.057,+0,+0,+0.15,+0.025,+0,+3.5,+0.055
2024-07-01 02:00:00 PST,+3.92516,+67.5893,+54.968,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 02:15:00 PST,+3.92516,+67.4732,+54.968,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 02:30:00 PST,+3.92516,+67.3923,+54.968,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 02:45:00 PST,+3.92516,+67.3147,+54.968,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 03:00:00 PST,+3.92516,+67.24,+54.032,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 03:15:00 PST,+3.92516,+67.1037,+54.032,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 03:30:00 PST,+3.92516,+67.0021,+54.032,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
2024-07-01 03:45:00 PST,+3.92516,+66.9047,+54.032,+0,+0.0525,+0,+0,+0.138,+0.023,+0,+3.5,+0.05
