# file...... results_8df5e6d0.csv
# date...... Mon Dec 22 16:09:59 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 3
# trigger... (none)
# interval.. 3600
# limit..... 999999
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature,washing_machine:base_power,dishwasher:base_power
2024-07-01 00:00:00 CET,+0,+72.975,+68.9,+0,+0
2024-07-01 01:00:00 CET,+0,+72.1943,+66.92,+0,+0
2024-07-01 02:00:00 CET,+0,+71.3214,+65.66,+0,+0
2024-07-01 03:00:00 CET,+0,+70.4206,+66.02,+0,+0
2024-07-01 04:00:00 CET,+0,+69.7764,+67.82,+0,+0
2024-07-01 05:00:00 CET,+0,+69.5585,+71.42,+0,+0
2024-07-01 06:00:00 CET,+0,+69.9878,+69.26,+0,+0
2024-07-01 07:00:00 CET,+0,+69.7885,+73.4,+0,+0
2024-07-01 08:00:00 CET,+0,+70.5026,+77.36,+0,+0
2024-07-01 09:00:00 CET,+0,+71.6954,+80.6,+0,+0
2024-07-01 10:00:00 CET,+0,+73.1648,+80.78,+0,+0
2024-07-01 11:00:00 CET,+0,+74.3131,+70.88,+0,+0
2024-07-01 12:00:00 CET,+0,+73.3851,+77.36,+0,+0
2024-07-01 13:00:00 CET,+0,+74.2514,+78.26,+0,+0
2024-07-01 14:00:00 CET,+0,+74.8895,+79.16,+0,+0
2024-07-01 15:00:00 CET,+0,+75.5669,+79.88,+0,+0
2024-07-01 16:00:00 CET,+0,+76.2431,+80.06,+0,+0
2024-07-01 17:00:00 CET,+0,+76.8225,+80.06,+0,+0
2024-07-01 18:00:00 CET,+0.48495,+76.2408,+80.06,+0,+0
2024-07-01 19:00:00 CET,+0.47099,+75.7082,+75.56,+0,+0
2024-07-01 20:00:00 CET,+0.463959,+74.3597,+73.4,+0,+0
2024-07-01 21:00:00 CET,+0.104284,+73.7529,+70.88,+0,+0.1
2024-07-01 22:00:00 CET,+0.104284,+73.2471,+69.08,+0,+0.1
2024-07-01 23:00:00 CET,+0.104284,+72.5776,+68.18,+0,+0.1
2024-07-02 00:00:00 CET,+0,+71.8866,+67.28,+0,+0
2024-07-02 01:00:00 CET,+0,+71.1583,+66.2,+0,+0
2024-07-02 02:00:00 CET,+0,+70.3703,+65.3,+0,+0
2024-07-02 03:00:00 CET,+0,+69.5731,+63.86,+0,+0
2024-07-02 04:00:00 CET,+0,+68.6571,+63.86,+0,+0
2024-07-02 05:00:00 CET,+0,+67.9384,+63.86,+0,+0
2024-07-02 06:00:00 CET,+0,+67.3274,+65.66,+0,+0
2024-07-02 07:00:00 CET,+0,+67.1529,+69.8,+0,+0
2024-07-02 08:00:00 CET,+0,+67.7224,+73.76,+0,+0
2024-07-02 09:00:00 CET,+0,+68.7924,+77.36,+0,+0
2024-07-02 10:00:00 CET,+0,+70.2264,+81.5,+0,+0
2024-07-02 11:00:00 CET,+0,+72.0883,+83.3,+0,+0
2024-07-02 12:00:00 CET,+0,+73.8431,+84.56,+0,+0
2024-07-02 13:00:00 CET,+0,+75.5013,+86.9,+0,+0
2024-07-02 14:00:00 CET,+0.500471,+76.7712,+85.46,+0,+0
2024-07-02 15:00:00 CET,+0.500471,+76.9174,+85.46,+0,+0
2024-07-02 16:00:00 CET,+0.499478,+77.124,+85.1,+0,+0
2024-07-02 17:00:00 CET,+0.495447,+77.2279,+83.66,+0,+0
2024-07-02 18:00:00 CET,+0.48763,+77.0453,+80.96,+0,+0
2024-07-02 19:00:00 CET,+0.481135,+76.4151,+78.8,+0,+0
2024-07-02 20:00:00 CET,+0.47099,+75.5665,+75.56,+0,+0
2024-07-02 21:00:00 CET,+0.565327,+74.3221,+73.58,+0.1,+0
2024-07-02 22:00:00 CET,+0,+73.7497,+71.6,+0,+0
2024-07-02 23:00:00 CET,+0,+73.3481,+70.16,+0,+0
2024-07-03 00:00:00 CET,+0,+72.8103,+68.9,+0,+0
2024-07-03 01:00:00 CET,+0,+72.1719,+68,+0,+0
2024-07-03 02:00:00 CET,+0,+71.5093,+66.56,+0,+0
2024-07-03 03:00:00 CET,+0,+70.7076,+65.48,+0,+0
2024-07-03 04:00:00 CET,+0,+69.8794,+64.58,+0,+0
2024-07-03 05:00:00 CET,+0,+69.0478,+64.58,+0,+0
2024-07-03 06:00:00 CET,+0,+68.3785,+67.46,+0,+0
2024-07-03 07:00:00 CET,+0,+68.3613,+71.96,+0,+0
2024-07-03 08:00:00 CET,+0.104284,+69.1166,+76.46,+0.1,+0
2024-07-03 09:00:00 CET,+0,+70.4279,+79.16,+0,+0
2024-07-03 10:00:00 CET,+0,+71.8488,+81.68,+0,+0
2024-07-03 11:00:00 CET,+0,+73.4269,+85.28,+0,+0
2024-07-03 12:00:00 CET,+0,+75.3531,+87.26,+0,+0
2024-07-03 13:00:00 CET,+0.50914,+76.7805,+88.7,+0,+0
2024-07-03 14:00:00 CET,+0.507256,+77.5285,+87.98,+0,+0
2024-07-03 15:00:00 CET,+0.505347,+78.0044,+87.26,+0,+0
2024-07-03 16:00:00 CET,+0.504384,+78.297,+86.9,+0,+0
2024-07-03 17:00:00 CET,+0.500471,+78.5054,+85.46,+0,+0
2024-07-03 18:00:00 CET,+0.494936,+78.4115,+83.48,+0,+0
2024-07-03 19:00:00 CET,+0.483867,+78.0001,+79.7,+0,+0
2024-07-03 20:00:00 CET,+0.472715,+76.9844,+76.1,+0,+0
2024-07-03 21:00:00 CET,+0.465146,+75.5962,+73.76,+0,+0
2024-07-03 22:00:00 CET,+0.459152,+74.0822,+71.96,+0,+0
2024-07-03 23:00:00 CET,+0,+73.605,+70.7,+0,+0
2024-07-04 00:00:00 CET,+0,+73.1172,+69.8,+0,+0
2024-07-04 01:00:00 CET,+0,+72.5827,+68.36,+0,+0
2024-07-04 02:00:00 CET,+0,+71.8899,+67.1,+0,+0
