# file...... results_8df5e6d0.csv
# date...... Mon Dec 22 16:06:15 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 3
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature,washing_machine:base_power,dishwasher:base_power
2024-07-01 00:00:00 CET,+0,+72.975,+68.9,+0,+0
2024-07-01 00:01:00 CET,+0,+72.9229,+68.9,+0,+0
2024-07-01 00:02:00 CET,+0,+72.8795,+68.9,+0,+0
2024-07-01 00:03:00 CET,+0,+72.8429,+68.9,+0,+0
2024-07-01 00:04:00 CET,+0,+72.8118,+68.9,+0,+0
2024-07-01 00:05:00 CET,+0,+72.7851,+68.9,+0,+0
2024-07-01 00:06:00 CET,+0,+72.7618,+68.9,+0,+0
2024-07-01 00:07:00 CET,+0,+72.7412,+68.9,+0,+0
2024-07-01 00:08:00 CET,+0,+72.7228,+68.9,+0,+0
2024-07-01 00:09:00 CET,+0,+72.7061,+68.9,+0,+0
2024-07-01 00:10:00 CET,+0,+72.6908,+68.9,+0,+0
2024-07-01 00:11:00 CET,+0,+72.6765,+68.9,+0,+0
2024-07-01 00:12:00 CET,+0,+72.6632,+68.9,+0,+0
2024-07-01 00:13:00 CET,+0,+72.6505,+68.9,+0,+0
2024-07-01 00:14:00 CET,+0,+72.6384,+68.9,+0,+0
2024-07-01 00:15:00 CET,+0,+72.6267,+68.9,+0,+0
2024-07-01 00:16:00 CET,+0,+72.6154,+68.9,+0,+0
2024-07-01 00:17:00 CET,+0,+72.6044,+68.9,+0,+0
2024-07-01 00:18:00 CET,+0,+72.5936,+68.9,+0,+0
2024-07-01 00:19:00 CET,+0,+72.583,+68.9,+0,+0
2024-07-01 00:20:00 CET,+0,+72.5726,+68.9,+0,+0
2024-07-01 00:21:00 CET,+0,+72.5623,+68.9,+0,+0
2024-07-01 00:22:00 CET,+0,+72.5521,+68.9,+0,+0
2024-07-01 00:23:00 CET,+0,+72.542,+68.9,+0,+0
2024-07-01 00:24:00 CET,+0,+72.5319,+68.9,+0,+0
2024-07-01 00:25:00 CET,+0,+72.522,+68.9,+0,+0
2024-07-01 00:26:00 CET,+0,+72.5121,+68.9,+0,+0
2024-07-01 00:27:00 CET,+0,+72.5022,+68.9,+0,+0
2024-07-01 00:28:00 CET,+0,+72.4924,+68.9,+0,+0
2024-07-01 00:29:00 CET,+0,+72.4826,+68.9,+0,+0
2024-07-01 00:30:00 CET,+0,+72.4729,+68.9,+0,+0
2024-07-01 00:31:00 CET,+0,+72.4632,+68.9,+0,+0
2024-07-01 00:32:00 CET,+0,+72.4536,+68.9,+0,+0
2024-07-01 00:33:00 CET,+0,+72.444,+68.9,+0,+0
2024-07-01 00:34:00 CET,+0,+72.4344,+68.9,+0,+0
2024-07-01 00:35:00 CET,+0,+72.4248,+68.9,+0,+0
2024-07-01 00:36:00 CET,+0,+72.4153,+68.9,+0,+0
2024-07-01 00:37:00 CET,+0,+72.4058,+68.9,+0,+0
2024-07-01 00:38:00 CET,+0,+72.3963,+68.9,+0,+0
2024-07-01 00:39:00 CET,+0,+72.3868,+68.9,+0,+0
2024-07-01 00:40:00 CET,+0,+72.3774,+68.9,+0,+0
2024-07-01 00:41:00 CET,+0,+72.368,+68.9,+0,+0
2024-07-01 00:42:00 CET,+0,+72.3586,+68.9,+0,+0
2024-07-01 00:43:00 CET,+0,+72.3493,+68.9,+0,+0
2024-07-01 00:44:00 CET,+0,+72.34,+68.9,+0,+0
2024-07-01 00:45:00 CET,+0,+72.3307,+68.9,+0,+0
2024-07-01 00:46:00 CET,+0,+72.3214,+68.9,+0,+0
2024-07-01 00:47:00 CET,+0,+72.3122,+68.9,+0,+0
2024-07-01 00:48:00 CET,+0,+72.303,+68.9,+0,+0
2024-07-01 00:49:00 CET,+0,+72.2938,+68.9,+0,+0
2024-07-01 00:50:00 CET,+0,+72.2846,+68.9,+0,+0
2024-07-01 00:51:00 CET,+0,+72.2754,+68.9,+0,+0
2024-07-01 00:52:00 CET,+0,+72.2663,+68.9,+0,+0
2024-07-01 00:53:00 CET,+0,+72.2572,+68.9,+0,+0
2024-07-01 00:54:00 CET,+0,+72.2482,+68.9,+0,+0
2024-07-01 00:55:00 CET,+0,+72.2391,+68.9,+0,+0
2024-07-01 00:56:00 CET,+0,+72.2301,+68.9,+0,+0
2024-07-01 00:57:00 CET,+0,+72.2211,+68.9,+0,+0
2024-07-01 00:58:00 CET,+0,+72.2121,+68.9,+0,+0
2024-07-01 00:59:00 CET,+0,+72.2032,+68.9,+0,+0
2024-07-01 01:00:00 CET,+0,+72.1943,+66.92,+0,+0
2024-07-01 01:01:00 CET,+0,+72.16,+66.92,+0,+0
2024-07-01 01:02:00 CET,+0,+72.1301,+66.92,+0,+0
2024-07-01 01:03:00 CET,+0,+72.1034,+66.92,+0,+0
2024-07-01 01:04:00 CET,+0,+72.0795,+66.92,+0,+0
2024-07-01 01:05:00 CET,+0,+72.0577,+66.92,+0,+0
2024-07-01 01:06:00 CET,+0,+72.0376,+66.92,+0,+0
2024-07-01 01:07:00 CET,+0,+72.0189,+66.92,+0,+0
2024-07-01 01:08:00 CET,+0,+72.0012,+66.92,+0,+0
2024-07-01 01:09:00 CET,+0,+71.9844,+66.92,+0,+0
2024-07-01 01:10:00 CET,+0,+71.9682,+66.92,+0,+0
2024-07-01 01:11:00 CET,+0,+71.9527,+66.92,+0,+0
2024-07-01 01:12:00 CET,+0,+71.9375,+66.92,+0,+0
2024-07-01 01:13:00 CET,+0,+71.9228,+66.92,+0,+0
2024-07-01 01:14:00 CET,+0,+71.9083,+66.92,+0,+0
2024-07-01 01:15:00 CET,+0,+71.894,+66.92,+0,+0
2024-07-01 01:16:00 CET,+0,+71.88,+66.92,+0,+0
2024-07-01 01:17:00 CET,+0,+71.8661,+66.92,+0,+0
2024-07-01 01:18:00 CET,+0,+71.8524,+66.92,+0,+0
2024-07-01 01:19:00 CET,+0,+71.8388,+66.92,+0,+0
2024-07-01 01:20:00 CET,+0,+71.8252,+66.92,+0,+0
2024-07-01 01:21:00 CET,+0,+71.8118,+66.92,+0,+0
2024-07-01 01:22:00 CET,+0,+71.7984,+66.92,+0,+0
2024-07-01 01:23:00 CET,+0,+71.7851,+66.92,+0,+0
2024-07-01 01:24:00 CET,+0,+71.7719,+66.92,+0,+0
2024-07-01 01:25:00 CET,+0,+71.7587,+66.92,+0,+0
2024-07-01 01:26:00 CET,+0,+71.7456,+66.92,+0,+0
2024-07-01 01:27:00 CET,+0,+71.7325,+66.92,+0,+0
2024-07-01 01:28:00 CET,+0,+71.7195,+66.92,+0,+0
2024-07-01 01:29:00 CET,+0,+71.7065,+66.92,+0,+0
2024-07-01 01:30:00 CET,+0,+71.6935,+66.92,+0,+0
2024-07-01 01:31:00 CET,+0,+71.6806,+66.92,+0,+0
2024-07-01 01:32:00 CET,+0,+71.6677,+66.92,+0,+0
2024-07-01 01:33:00 CET,+0,+71.6549,+66.92,+0,+0
2024-07-01 01:34:00 CET,+0,+71.6421,+66.92,+0,+0
2024-07-01 01:35:00 CET,+0,+71.6293,+66.92,+0,+0
2024-07-01 01:36:00 CET,+0,+71.6166,+66.92,+0,+0
2024-07-01 01:37:00 CET,+0,+71.6039,+66.92,+0,+0
2024-07-01 01:38:00 CET,+0,+71.5913,+66.92,+0,+0
2024-07-01 01:39:00 CET,+0,+71.5786,+66.92,+0,+0
2024-07-01 01:40:00 CET,+0,+71.5661,+66.92,+0,+0
2024-07-01 01:41:00 CET,+0,+71.5535,+66.92,+0,+0
2024-07-01 01:42:00 CET,+0,+71.541,+66.92,+0,+0
2024-07-01 01:43:00 CET,+0,+71.5285,+66.92,+0,+0
2024-07-01 01:44:00 CET,+0,+71.5161,+66.92,+0,+0
2024-07-01 01:45:00 CET,+0,+71.5036,+66.92,+0,+0
2024-07-01 01:46:00 CET,+0,+71.4913,+66.92,+0,+0
2024-07-01 01:47:00 CET,+0,+71.4789,+66.92,+0,+0
2024-07-01 01:48:00 CET,+0,+71.4666,+66.92,+0,+0
2024-07-01 01:49:00 CET,+0,+71.4543,+66.92,+0,+0
2024-07-01 01:50:00 CET,+0,+71.4421,+66.92,+0,+0
2024-07-01 01:51:00 CET,+0,+71.4298,+66.92,+0,+0
2024-07-01 01:52:00 CET,+0,+71.4177,+66.92,+0,+0
2024-07-01 01:53:00 CET,+0,+71.4055,+66.92,+0,+0
2024-07-01 01:54:00 CET,+0,+71.3934,+66.92,+0,+0
2024-07-01 01:55:00 CET,+0,+71.3813,+66.92,+0,+0
2024-07-01 01:56:00 CET,+0,+71.3693,+66.92,+0,+0
2024-07-01 01:57:00 CET,+0,+71.3572,+66.92,+0,+0
2024-07-01 01:58:00 CET,+0,+71.3453,+66.92,+0,+0
2024-07-01 01:59:00 CET,+0,+71.3333,+66.92,+0,+0
2024-07-01 02:00:00 CET,+0,+71.3214,+65.66,+0,+0
2024-07-01 02:01:00 CET,+0,+71.2934,+65.66,+0,+0
2024-07-01 02:02:00 CET,+0,+71.2681,+65.66,+0,+0
2024-07-01 02:03:00 CET,+0,+71.245,+65.66,+0,+0
2024-07-01 02:04:00 CET,+0,+71.2236,+65.66,+0,+0
2024-07-01 02:05:00 CET,+0,+71.2035,+65.66,+0,+0
2024-07-01 02:06:00 CET,+0,+71.1846,+65.66,+0,+0
2024-07-01 02:07:00 CET,+0,+71.1665,+65.66,+0,+0
2024-07-01 02:08:00 CET,+0,+71.1492,+65.66,+0,+0
2024-07-01 02:09:00 CET,+0,+71.1324,+65.66,+0,+0
2024-07-01 02:10:00 CET,+0,+71.116,+65.66,+0,+0
2024-07-01 02:11:00 CET,+0,+71.1001,+65.66,+0,+0
2024-07-01 02:12:00 CET,+0,+71.0844,+65.66,+0,+0
2024-07-01 02:13:00 CET,+0,+71.069,+65.66,+0,+0
2024-07-01 02:14:00 CET,+0,+71.0537,+65.66,+0,+0
2024-07-01 02:15:00 CET,+0,+71.0387,+65.66,+0,+0
2024-07-01 02:16:00 CET,+0,+71.0238,+65.66,+0,+0
2024-07-01 02:17:00 CET,+0,+71.009,+65.66,+0,+0
2024-07-01 02:18:00 CET,+0,+70.9943,+65.66,+0,+0
2024-07-01 02:19:00 CET,+0,+70.9797,+65.66,+0,+0
2024-07-01 02:20:00 CET,+0,+70.9652,+65.66,+0,+0
2024-07-01 02:21:00 CET,+0,+70.9507,+65.66,+0,+0
2024-07-01 02:22:00 CET,+0,+70.9363,+65.66,+0,+0
2024-07-01 02:23:00 CET,+0,+70.922,+65.66,+0,+0
2024-07-01 02:24:00 CET,+0,+70.9077,+65.66,+0,+0
