# file...... results_6b6b89a8.csv
# date...... Wed Dec 10 15:22:30 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real
2024-01-01 00:00:00 PST,+4.06273,+0,+68.1054,+14.36,+0,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:01:00 PST,+4.06273,+0,+68.0173,+14.36,+64.9167,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:02:00 PST,+4.06273,+0,+67.9482,+14.36,+129.833,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:03:00 PST,+4.06273,+0,+67.8934,+14.36,+194.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:04:00 PST,+4.06273,+0,+67.8494,+14.36,+259.667,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:05:00 PST,+4.06273,+0,+67.8136,+14.36,+324.583,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:06:00 PST,+4.06273,+0,+67.7838,+14.36,+389.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:07:00 PST,+4.06273,+0,+67.7586,+14.36,+454.417,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:08:00 PST,+4.06273,+0,+67.7369,+14.36,+519.333,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:09:00 PST,+4.06273,+0,+67.7178,+14.36,+584.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:10:00 PST,+4.06273,+0,+67.7007,+14.36,+649.167,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:11:00 PST,+4.06273,+0,+67.6851,+14.36,+714.083,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:12:00 PST,+4.06273,+0,+67.6706,+14.36,+779,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:13:00 PST,+4.06273,+0,+67.6569,+14.36,+843.917,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:14:00 PST,+4.06273,+0,+67.6439,+14.36,+908.833,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:15:00 PST,+4.06273,+0,+67.6314,+14.36,+973.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:16:00 PST,+4.06273,+0,+67.6192,+14.36,+1038.67,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:17:00 PST,+4.06273,+0,+67.6073,+14.36,+1103.58,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:18:00 PST,+4.06273,+0,+67.5956,+14.36,+1168.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:19:00 PST,+4.06273,+0,+67.5841,+14.36,+1233.42,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:20:00 PST,+4.06273,+0,+67.5727,+14.36,+1298.33,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:21:00 PST,+4.06273,+0,+67.5614,+14.36,+1363.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:22:00 PST,+4.06273,+0,+67.5501,+14.36,+1428.17,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:23:00 PST,+4.06273,+0,+67.5389,+14.36,+1493.08,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:24:00 PST,+4.06273,+0,+67.5278,+14.36,+1558,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:25:00 PST,+4.06273,+0,+67.5167,+14.36,+1622.92,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:26:00 PST,+4.06273,+0,+67.5056,+14.36,+1687.83,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:27:00 PST,+4.06273,+0,+67.4946,+14.36,+1752.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:28:00 PST,+4.06273,+0,+67.4835,+14.36,+1817.67,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:29:00 PST,+4.06273,+0,+67.4725,+14.36,+1882.58,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:30:00 PST,+4.06273,+0,+67.4615,+14.36,+1947.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:31:00 PST,+4.06273,+0,+67.4505,+14.36,+2012.42,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:32:00 PST,+4.06273,+0,+67.4395,+14.36,+2077.33,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:33:00 PST,+4.06273,+0,+67.4286,+14.36,+2142.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:34:00 PST,+4.06273,+0,+67.4176,+14.36,+2207.17,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:35:00 PST,+4.06273,+0,+67.4067,+14.36,+2272.08,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:36:00 PST,+4.06273,+0,+67.3957,+14.36,+2337,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:37:00 PST,+4.06273,+0,+67.3848,+14.36,+2401.92,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:38:00 PST,+4.06273,+0,+67.3738,+14.36,+2466.83,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:39:00 PST,+4.06273,+0,+67.3629,+14.36,+2531.75,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:40:00 PST,+4.06273,+0,+67.352,+14.36,+2596.67,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:41:00 PST,+4.06273,+0,+67.3411,+14.36,+2661.58,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:42:00 PST,+4.06273,+0,+67.3302,+14.36,+2726.5,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:43:00 PST,+4.06273,+0,+67.3193,+14.36,+2791.42,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:44:00 PST,+4.06273,+0,+67.3084,+14.36,+2856.33,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
2024-01-01 00:45:00 PST,+4.06273,+0,+67.2976,+14.36,+2921.25,+3895,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.21,+0.035
