# file...... results_bf2d4e67.csv
# date...... Thu Jan 15 15:59:55 2026
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 999999
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature,house:hvac_load,refrigerator:base_power,dishwasher:base_power,washing_machine:base_power,indoor_lights:power.real,exterior_lights:power.real,main_wh:power.real,misc_appliances:base_power
2024-07-01 00:00:00 PST,+0.50616,20.058555555555557,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:01:00 PST,+0.50616,20.085166666666666,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:02:00 PST,+0.50616,20.1075,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:03:00 PST,+0.50616,20.12644444444444,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:04:00 PST,+0.50616,20.14288888888889,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:05:00 PST,+0.50616,20.15738888888889,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:06:00 PST,+0.50616,20.170444444444442,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:07:00 PST,+0.50616,20.18233333333333,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:08:00 PST,+0.50616,20.19338888888889,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:09:00 PST,+0.50616,20.203777777777777,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:10:00 PST,+0.50616,20.21366666666667,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:11:00 PST,+0.50616,20.22316666666667,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:12:00 PST,+0.50616,20.232333333333333,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:13:00 PST,+0.50616,20.241222222222223,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
2024-07-01 00:14:00 PST,+0.50616,20.25,20.500000000000004,+0,+0.06,+0,+0,+0.224,+0.056,+0,+0.144
