temperature,humidity,solar_global,solar_diffuse
1:01:00,52.52,66,0,0
1:01:01,47.66,65,0,0
1:01:02,47.12,65,0,0
1:01:03,46.58,64,0,0
1:01:04,45.5,65,0,0
1:01:05,44.78,66,0,0
1:01:06,44.96,67,0,0
1:01:07,44.42,62,0,0
1:01:08,46.76,57,5.6669,4.645
1:01:09,50.9,52,17.2794,11.4267
1:01:10,60.26,46,28.6132,15.3285
1:01:11,64.22,41,34.5588,18.3942
1:01:12,68,37,36.5097,19.3232
1:01:13,69.62,35,30.4712,20.2522
1:01:14,71.06,33,17.0936,15.6072
1:01:15,72.68,31,16.2575,10.9622
1:01:16,69.44,35,5.574,3.9947
1:01:17,66.2,55,0,0
1:01:18,62.96,46,0,0
1:01:19,59.18,55,0,0
1:01:20,55.58,66,0,0
1:01:21,47.3,79,0,0
1:01:22,45.86,80,0,0
1:01:23,44.78,81,0,0
1:02:00,45.32,76,0,0
1:02:01,47.66,79,0,0
1:02:02,46.58,82,0,0
1:02:03,45.32,85,0,0
1:02:04,45.86,83,0,0
1:02:05,46.22,82,0,0
1:02:06,46.76,80,0,0
1:02:07,46.58,70,0,0
1:02:08,54.86,62,0,0
1:02:09,59,54,0,0
1:02:10,62.24,47,18.9516,16.722
1:02:11,65.48,41,0,0
1:02:12,68.72,36,32.0505,21.9244
1:02:13,68.36,36,0,0
1:02:14,68,35,29.8209,13.6563
1:02:15,67.64,35,0,0
1:02:16,65.12,37,7.7107,3.0657
1:02:17,62.6,40,0,0
1:02:18,60.08,43,0,0
1:02:19,58.1,47,0,0
1:02:20,56.3,51,0,0
1:02:21,54.32,56,0,0
1:02:22,51.8,66,0,0
1:02:23,49.28,77,0,0
1:03:00,48.92,66,0,0
1:03:01,47.66,68,0,0
1:03:02,46.58,69,0,0
1:03:03,45.32,71,0,0
1:03:04,46.04,73,0,0
1:03:05,46.76,76,0,0
1:03:06,44.06,78,0,0
1:03:07,43.52,69,0,0
1:03:08,45.32,61,2.2296,2.2296
1:03:09,52.52,54,0,0
1:03:10,56.3,47,14.1208,13.7492
1:03:11,60.26,40,0,0
1:03:12,64.04,35,14.864,14.7711
1:03:13,65.12,34,0,0
1:03:14,66.38,33,16.1646,15.1427
1:03:15,67.46,32,0,0
1:03:16,64.58,39,3.4373,3.3444
1:03:17,61.88,48,0,0
1:03:18,59,58,0,0
1:03:19,55.76,61,0,0
1:03:20,52.52,65,0,0
1:03:21,49.28,69,0,0
1:03:22,44.06,72,0,0
1:03:23,45.86,75,0,0
1:04:00,42.98,71,0,0
1:04:01,42.26,67,0,0
1:04:02,41.72,63,0,0
1:04:03,42.44,59,0,0
1:04:04,42.26,59,0,0
1:04:05,41.72,60,0,0
1:04:06,42.26,60,0,0
1:04:07,42.44,55,0,0
1:04:08,46.4,50,2.1367,2.1367
1:04:09,50.36,46,0,0
1:04:10,59.18,40,16.1646,15.2356
1:04:11,62.42,35,0,0
1:04:12,65.84,31,11.0551,11.0551
1:04:13,67.64,32,0,0
1:04:14,69.44,32,4.1805,4.1805
1:04:15,71.24,33,0,0
1:04:16,69.08,34,1.0219,1.0219
1:04:17,66.92,35,0,0
1:04:18,57.92,50,0,0
1:04:19,63.14,40,0,0
1:04:20,61.52,44,0,0
1:04:21,52.16,48,0,0
1:04:22,54.86,60,0,0
1:04:23,49.64,75,0,0
1:05:00,50.18,50,0,0
1:05:01,49.46,55,0,0
1:05:02,47.66,60,0,0
1:05:03,51.08,66,0,0
1:05:04,51.44,64,0,0
1:05:05,47.3,62,0,0
1:05:06,48.02,60,0,0
1:05:07,47.12,71,0,0
1:05:08,48.38,65,8.4539,3.9018
1:05:09,53.78,57,0,0
1:05:10,62.24,38,37.3458,6.0385
1:05:11,65.12,35,0,0
1:05:12,68,32,44.9636,11.4267
1:05:13,70.34,28,0,0
1:05:14,72.5,25,22.7605,17.7439
1:05:15,74.84,22,0,0
1:05:16,72.14,23,8.5468,3.3444
1:05:17,69.26,25,0,0
1:05:18,66.56,26,0,0
1:05:19,64.94,28,0,0
1:05:20,63.14,31,0,0
1:05:21,61.52,34,0,0
1:05:22,53.06,35,0,0
1:05:23,52.88,36,0,0
1:06:00,57.2,37,0,0
1:06:01,55.94,39,0,0
1:06:02,54.86,40,0,0
1:06:03,53.6,42,0,0
1:06:04,52.34,44,0,0
1:06:05,51.26,47,0,0
1:06:06,57.02,37,0,0
1:06:07,55.58,44,0,0
1:06:08,61.34,39,4.8308,4.3663
1:06:09,66.92,35,0,0
1:06:10,68.54,35,26.8481,17.2794
1:06:11,69.98,34,0,0
1:06:12,71.6,34,44.4991,12.6344
1:06:13,71.42,34,0,0
1:06:14,71.06,34,6.6888,6.6888
1:06:15,70.88,34,0,0
1:06:16,69.08,27,1.5793,1.5793
1:06:17,67.28,38,0,0
1:06:18,65.48,40,0,0
