# file...... results_835c16e0.csv
# date...... Fri Nov 28 14:10:04 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 3
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,house:total_load,house:air_temperature,house:outdoor_temperature, washing_machine:base_power, house:hvac_load
2024-07-01 00:00:00 EET,+0,+72.975,+67.64,+0,+0
2024-07-01 00:01:00 EET,+0,+72.9068,+67.64,+0,+0
2024-07-01 00:02:00 EET,+0,+72.8499,+67.64,+0,+0
2024-07-01 00:03:00 EET,+0,+72.8021,+67.64,+0,+0
2024-07-01 00:04:00 EET,+0,+72.7614,+67.64,+0,+0
2024-07-01 00:05:00 EET,+0,+72.7264,+67.64,+0,+0
2024-07-01 00:06:00 EET,+0,+72.6958,+67.64,+0,+0
2024-07-01 00:07:00 EET,+0,+72.6689,+67.64,+0,+0
2024-07-01 00:08:00 EET,+0,+72.6448,+67.64,+0,+0
2024-07-01 00:09:00 EET,+0,+72.6229,+67.64,+0,+0
2024-07-01 00:10:00 EET,+0,+72.6029,+67.64,+0,+0
2024-07-01 00:11:00 EET,+0,+72.5843,+67.64,+0,+0
2024-07-01 00:12:00 EET,+0,+72.5668,+67.64,+0,+0
2024-07-01 00:13:00 EET,+0,+72.5502,+67.64,+0,+0
2024-07-01 00:14:00 EET,+0,+72.5343,+67.64,+0,+0
2024-07-01 00:15:00 EET,+0,+72.519,+67.64,+0,+0
2024-07-01 00:16:00 EET,+0,+72.5042,+67.64,+0,+0
2024-07-01 00:17:00 EET,+0,+72.4898,+67.64,+0,+0
2024-07-01 00:18:00 EET,+0,+72.4757,+67.64,+0,+0
2024-07-01 00:19:00 EET,+0,+72.4618,+67.64,+0,+0
2024-07-01 00:20:00 EET,+0,+72.4481,+67.64,+0,+0
2024-07-01 00:21:00 EET,+0,+72.4346,+67.64,+0,+0
2024-07-01 00:22:00 EET,+0,+72.4213,+67.64,+0,+0
2024-07-01 00:23:00 EET,+0,+72.4081,+67.64,+0,+0
2024-07-01 00:24:00 EET,+0,+72.3949,+67.64,+0,+0
2024-07-01 00:25:00 EET,+0,+72.3819,+67.64,+0,+0
2024-07-01 00:26:00 EET,+0,+72.3689,+67.64,+0,+0
2024-07-01 00:27:00 EET,+0,+72.356,+67.64,+0,+0
2024-07-01 00:28:00 EET,+0,+72.3432,+67.64,+0,+0
2024-07-01 00:29:00 EET,+0,+72.3304,+67.64,+0,+0
2024-07-01 00:30:00 EET,+0,+72.3177,+67.64,+0,+0
2024-07-01 00:31:00 EET,+0,+72.305,+67.64,+0,+0
2024-07-01 00:32:00 EET,+0,+72.2923,+67.64,+0,+0
2024-07-01 00:33:00 EET,+0,+72.2797,+67.64,+0,+0
2024-07-01 00:34:00 EET,+0,+72.2672,+67.64,+0,+0
2024-07-01 00:35:00 EET,+0,+72.2547,+67.64,+0,+0
2024-07-01 00:36:00 EET,+0,+72.2422,+67.64,+0,+0
2024-07-01 00:37:00 EET,+0,+72.2297,+67.64,+0,+0
2024-07-01 00:38:00 EET,+0,+72.2173,+67.64,+0,+0
2024-07-01 00:39:00 EET,+0,+72.205,+67.64,+0,+0
2024-07-01 00:40:00 EET,+0,+72.1926,+67.64,+0,+0
2024-07-01 00:41:00 EET,+0,+72.1803,+67.64,+0,+0
2024-07-01 00:42:00 EET,+0,+72.168,+67.64,+0,+0
2024-07-01 00:43:00 EET,+0,+72.1558,+67.64,+0,+0
2024-07-01 00:44:00 EET,+0,+72.1436,+67.64,+0,+0
2024-07-01 00:45:00 EET,+0,+72.1314,+67.64,+0,+0
2024-07-01 00:46:00 EET,+0,+72.1193,+67.64,+0,+0
2024-07-01 00:47:00 EET,+0,+72.1072,+67.64,+0,+0
2024-07-01 00:48:00 EET,+0,+72.0951,+67.64,+0,+0
2024-07-01 00:49:00 EET,+0,+72.0831,+67.64,+0,+0
2024-07-01 00:50:00 EET,+0,+72.0711,+67.64,+0,+0
2024-07-01 00:51:00 EET,+0,+72.0591,+67.64,+0,+0
2024-07-01 00:52:00 EET,+0,+72.0472,+67.64,+0,+0
2024-07-01 00:53:00 EET,+0,+72.0353,+67.64,+0,+0
2024-07-01 00:54:00 EET,+0,+72.0234,+67.64,+0,+0
2024-07-01 00:55:00 EET,+0,+72.0116,+67.64,+0,+0
2024-07-01 00:56:00 EET,+0,+71.9998,+67.64,+0,+0
2024-07-01 00:57:00 EET,+0,+71.988,+67.64,+0,+0
2024-07-01 00:58:00 EET,+0,+71.9762,+67.64,+0,+0
2024-07-01 00:59:00 EET,+0,+71.9645,+67.64,+0,+0
2024-07-01 01:00:00 EET,+0,+71.9529,+66.2,+0,+0
2024-07-01 01:01:00 EET,+0,+71.9228,+66.2,+0,+0
2024-07-01 01:02:00 EET,+0,+71.8958,+66.2,+0,+0
2024-07-01 01:03:00 EET,+0,+71.8713,+66.2,+0,+0
2024-07-01 01:04:00 EET,+0,+71.8488,+66.2,+0,+0
2024-07-01 01:05:00 EET,+0,+71.8278,+66.2,+0,+0
2024-07-01 01:06:00 EET,+0,+71.8081,+66.2,+0,+0
2024-07-01 01:07:00 EET,+0,+71.7893,+66.2,+0,+0
2024-07-01 01:08:00 EET,+0,+71.7714,+66.2,+0,+0
2024-07-01 01:09:00 EET,+0,+71.7541,+66.2,+0,+0
2024-07-01 01:10:00 EET,+0,+71.7373,+66.2,+0,+0
2024-07-01 01:11:00 EET,+0,+71.7209,+66.2,+0,+0
