# file...... results_5eb0cb5a.csv
# date...... Mon Dec 22 16:55:45 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 5
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real
2024-07-01 00:00:00 PST,+4.01118,+0,+68.1054,+67.64,+0,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:01:00 PST,+4.01118,+0,+68.1631,+67.64,+64.1,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:02:00 PST,+4.01118,+0,+68.213,+67.64,+128.2,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:03:00 PST,+4.01118,+0,+68.257,+67.64,+192.3,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:04:00 PST,+4.01118,+0,+68.2966,+67.64,+256.4,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:05:00 PST,+4.01118,+0,+68.3329,+67.64,+320.5,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:06:00 PST,+4.01118,+0,+68.3668,+67.64,+384.6,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:07:00 PST,+4.01118,+0,+68.3988,+67.64,+448.7,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:08:00 PST,+4.01118,+0,+68.4294,+67.64,+512.8,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:09:00 PST,+4.01118,+0,+68.4589,+67.64,+576.9,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:10:00 PST,+4.01118,+0,+68.4876,+67.64,+641,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:11:00 PST,+4.01118,+0,+68.5156,+67.64,+705.1,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:12:00 PST,+4.01118,+0,+68.5432,+67.64,+769.2,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:13:00 PST,+4.01118,+0,+68.5704,+67.64,+833.3,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:14:00 PST,+4.01118,+0,+68.5973,+67.64,+897.4,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:15:00 PST,+4.01118,+0,+68.624,+67.64,+961.5,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:16:00 PST,+4.01118,+0,+68.6505,+67.64,+1025.6,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:17:00 PST,+4.01118,+0,+68.6768,+67.64,+1089.7,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:18:00 PST,+4.01118,+0,+68.703,+67.64,+1153.8,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:19:00 PST,+4.01118,+0,+68.729,+67.64,+1217.9,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:20:00 PST,+4.01118,+0,+68.7549,+67.64,+1282,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:21:00 PST,+4.01118,+0,+68.7808,+67.64,+1346.1,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:22:00 PST,+4.01118,+0,+68.8065,+67.64,+1410.2,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:23:00 PST,+4.01118,+0,+68.8322,+67.64,+1474.3,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:24:00 PST,+4.01118,+0,+68.8578,+67.64,+1538.4,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:25:00 PST,+4.01118,+0,+68.8833,+67.64,+1602.5,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:26:00 PST,+4.01118,+0,+68.9088,+67.64,+1666.6,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:27:00 PST,+4.01118,+0,+68.9342,+67.64,+1730.7,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:28:00 PST,+4.01118,+0,+68.9595,+67.64,+1794.8,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:29:00 PST,+4.01118,+0,+68.9847,+67.64,+1858.9,+3846,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
