temperature,humidity,solar_global,solar_diffuse,
1:01:00,40.1,81,0,0
1:01:01,39.74,79,0,0
1:01:02,39.56,87,0,0
1:01:03,39.56,80,0,0
1:01:04,39.38,93,0,0
1:01:05,38.12,100,0,0
1:01:06,36.86,100,1.7651,1.7651
1:01:07,36.32,100,5.6669,5.6669
1:01:08,35.42,93,24.0611,14.1208
1:01:09,37.76,87,29.2635,19.1374
1:01:10,48.38,83,31.3073,21.7386
1:01:11,53.42,73,39.4825,15.3285
1:01:12,60.8,45,38.1819,8.0823
1:01:13,62.6,51,25.4546,9.3829
1:01:14,62.6,36,13.3776,4.645
1:01:15,62.6,36,0,0
1:01:16,57.2,47,0,0
1:01:17,56.84,66,0,0
1:01:18,53.6,54,0,0
1:01:19,53.6,58,0,0
1:01:20,48.92,58,0,0
1:01:21,48.02,78,0,0
1:01:22,46.58,84,0,0
1:01:23,46.22,85,0,0
1:02:00,47.12,67,0,0
1:02:01,47.84,87,0,0
1:02:02,48.02,89,0,0
1:02:03,44.6,79,0,0
1:02:04,48.2,71,0,0
1:02:05,44.6,81,0,0
1:02:06,46.4,76,1.6722,1.6722
1:02:07,47.48,87,5.2953,5.2953
1:02:08,49.64,86,30.1925,7.8965
1:02:09,50.9,84,41.4334,7.1533
1:02:10,57.2,73,44.3133,9.6616
1:02:11,60.8,67,43.9417,9.29
1:02:12,62.6,55,38.3677,8.1752
1:02:13,62.6,51,26.8481,7.8965
1:02:14,62.6,49,13.7492,4.4592
1:02:15,60.8,36,0,0
1:02:16,59,44,0,0
1:02:17,55.4,54,0,0
1:02:18,55.4,54,0,0
1:02:19,53.6,54,0,0
1:02:20,50,66,0,0
1:02:21,50,66,0,0
1:02:22,50,76,0,0
1:02:23,51.26,100,0,0
1:03:00,48.2,81,0,0
1:03:01,46.4,93,0,0
1:03:02,46.4,100,0,0
1:03:03,46.4,100,0,0
1:03:04,46.4,100,0,0
1:03:05,46.4,100,0,0
1:03:06,46.4,97,1.6722,1.6722
1:03:07,46.4,93,5.4811,5.4811
1:03:08,46.4,93,30.7499,7.432
1:03:09,48.2,93,42.1766,6.5959
1:03:10,51.8,71,44.4991,10.1261
1:03:11,53.6,62,44.1275,9.6616
1:03:12,53.6,58,39.2038,7.7107
1:03:13,55.4,47,27.0339,8.0823
1:03:14,55.4,51,13.6563,4.9237
1:03:15,55.4,47,0,0
1:03:16,51.8,58,0,0
1:03:17,53.78,66,0,0
1:03:18,51.44,75,0,0
1:03:19,48.02,64,0,0
1:03:20,46.76,69,0,0
1:03:21,45.68,72,0,0
1:03:22,42.62,87,0,0
1:03:23,42.8,66,0,0
1:04:00,43.7,66,0,0
1:04:01,43.7,62,0,0
1:04:02,44.06,79,0,0
1:04:03,45.14,80,0,0
1:04:04,50,78,0,0
1:04:05,48.2,61,0,0
1:04:06,46.4,66,1.4864,1.4864
1:04:07,46.4,71,5.2953,5.2953
1:04:08,46.4,87,31.0286,7.1533
1:04:09,44.6,100,41.5263,7.432
1:04:10,42.8,100,44.4991,10.219
1:04:11,42.8,100,44.1275,9.7545
1:04:12,42.8,100,39.2967,7.8036
1:04:13,44.6,93,28.7061,6.4101
1:04:14,44.6,87,14.3066,4.4592
1:04:15,46.4,71,0,0
1:04:16,46.4,76,0,0
1:04:17,46.4,71,0,0
1:04:18,48.2,66,0,0
1:04:19,48.2,66,0,0
1:04:20,48.2,61,0,0
1:04:21,48.2,61,0,0
1:04:22,48.2,53,0,0
1:04:23,46.4,57,0,0
1:05:00,46.76,65,0,0
1:05:01,44.96,81,0,0
1:05:02,44.42,70,0,0
1:05:03,43.52,69,0,0
1:05:04,41.72,69,0,0
1:05:05,40.64,74,0,0
1:05:06,39.74,74,1.6722,1.6722
1:05:07,41.36,85,5.1095,5.1095
1:05:08,39.2,75,31.4002,6.7817
1:05:09,41.36,61,41.1547,7.8036
1:05:10,51.8,62,44.1275,10.9622
1:05:11,55.4,50,44.0346,10.1261
1:05:12,57.2,32,39.1109,8.1752
1:05:13,59,41,29.2635,6.1314
1:05:14,59,36,14.0279,5.0166
1:05:15,56.3,36,0,0
1:05:16,53.6,37,0,0
1:05:17,55.94,46,0,0
1:05:18,53.96,49,0,0
1:05:19,47.3,81,0,0
1:05:20,47.48,81,0,0
1:05:21,46.4,81,0,0
1:05:22,43.7,81,0,0
1:05:23,42.62,93,0,0
1:06:00,41.54,93,0,0
1:06:01,40.82,100,0,0
1:06:02,40.64,100,0,0
1:06:03,40.28,100,0,0
1:06:04,39.02,100,0,0
1:06:05,38.66,100,0,0
1:06:06,37.4,93,1.6722,1.6722
1:06:07,37.4,93,6.503,6.503
1:06:08,39.2,93,30.657,8.1752
1:06:09,39.2,76,41.2476,8.2681
1:06:10,53.6,62,42.4553,14.2137
1:06:11,55.4,58,44.4062,10.4977
1:06:12,57.2,55,37.3458,11.6125
1:06:13,59,55,29.1706,6.6888
1:06:14,59,59,13.7492,5.7598
1:06:15,57.2,63,0,0
1:06:16,53.6,76,0,0
1:06:17,57.02,82,0,0
1:06:18,54.5,81,0,0
1:06:19,44.6,100,0,0
1:06:20,47.12,93,0,0
1:06:21,46.22,100,0,0
1:06:22,45.14,100,0,0
1:06:23,45.5,100,0,0
1:07:00,44.42,100,0,0
1:07:01,44.78,100,0,0
1:07:02,45.14,100,0,0
1:07:03,45.32,100,0,0
1:07:04,46.04,100,0,0
1:07:05,46.4,100,0,0
1:07:06,45.86,100,0.929,0.929
1:07:07,44.78,100,8.2681,8.2681
1:07:08,42.8,100,17.651,14.9569
