temperature,humidity,solar_global,solar_diffuse,
1:01:00,38.174,54.51,0,0
1:01:01,38.282,61.97,0,0
1:01:02,38.39,69.43,0,0
1:01:03,38.498,76.89,0,0
1:01:04,38.606,84.35,0,0
1:01:05,38.732,91.81,0,0
1:01:06,38.84,99.27,0,0
1:01:07,38.948,100,0,0
1:01:08,37.148,88.7,0,0
1:01:09,37.292,88.7,1.1148,1.0219
1:01:10,38.138,85.45,6.1314,5.1095
1:01:11,39.488,82.3,10.3119,8.2681
1:01:12,40.244,82.3,14.0279,9.6616
1:01:13,40.838,79.3,17.651,6.6888
1:01:14,41.144,76.3,4.9237,4.8308
1:01:15,41.018,79.3,1.5793,1.5793
1:01:16,40.532,79.3,0,0
1:01:17,40.334,82.3,0,0
1:01:18,39.686,79.2,0,0
1:01:19,39.236,79.2,0,0
1:01:20,39.326,79.2,0,0
1:01:21,39.416,79.2,0,0
1:01:22,39.596,76.25,0,0
1:01:23,39.308,79.2,0,0
1:02:00,39.056,79.2,0,0
1:02:01,38.894,79.2,0,0
1:02:02,38.552,82.25,0,0
1:02:03,37.76,79.15,0,0
1:02:04,36.914,82.2,0,0
1:02:05,36.266,82.15,0,0
1:02:06,35.582,85.3,0,0
1:02:07,34.97,85.25,0,0
1:02:08,33.548,88.55,0,0
1:02:09,32.9,88.5,1.5793,1.2077
1:02:10,34.034,88.55,10.3119,3.9018
1:02:11,35.438,82.05,15.9788,5.9456
1:02:12,37.238,79.1,19.4161,6.2243
1:02:13,38.39,79.15,17.5581,6.9675
1:02:14,39.128,79.2,13.5634,5.4811
1:02:15,39.272,82.3,5.2024,3.716
1:02:16,38.048,82.25,0,0
1:02:17,36.158,88.65,0,0
1:02:18,34.88,92.05,0,0
1:02:19,33.926,95.65,0,0
1:02:20,32.99,95.65,0,0
1:02:21,32.72,92,0,0
1:02:22,32.288,95.6,0,0
1:02:23,32.648,92,0,0
1:03:00,32.738,92,0,0
1:03:01,32.558,92,0,0
1:03:02,32.468,92,0,0
1:03:03,32.396,92,0,0
1:03:04,32.504,92,0,0
1:03:05,33.224,92.05,0,0
1:03:06,33.71,92.05,0,0
1:03:07,34.034,92.05,0,0
1:03:08,34.448,88.6,0,0
1:03:09,34.664,88.6,0.6503,0.6503
1:03:10,35.87,88.65,1.3935,1.3935
1:03:11,37.346,85.4,13.6563,7.8036
1:03:12,38.624,85.45,6.0385,6.0385
1:03:13,39.542,82.3,9.1971,8.4539
1:03:14,39.992,85.5,7.0604,6.503
1:03:15,40.298,85.5,3.9018,3.4373
1:03:16,40.442,85.5,0,0
1:03:17,40.136,85.5,0,0
1:03:18,39.83,85.5,0,0
1:03:19,39.704,85.5,0,0
1:03:20,39.578,85.5,0,0
1:03:21,39.56,85.5,0,0
1:03:22,39.416,88.8,0,0
1:03:23,39.38,88.8,0,0
1:04:00,39.614,88.8,0,0
1:04:01,39.344,88.8,0,0
1:04:02,39.164,92.2,0,0
1:04:03,39.2,92.2,0,0
1:04:04,39.308,92.2,0,0
1:04:05,39.164,92.2,0,0
1:04:06,39.146,92.2,0,0
1:04:07,38.948,92.2,0,0
1:04:08,39.128,92.2,0,0
1:04:09,39.398,95.75,0.2787,0.2787
1:04:10,40.118,95.75,3.4373,3.4373
1:04:11,41.396,92.25,5.2953,5.2953
1:04:12,42.602,92.3,6.2243,6.2243
1:04:13,43.394,92.3,7.3391,7.1533
1:04:14,44.132,89,4.1805,4.1805
1:04:15,43.97,88.95,5.2024,3.9018
1:04:16,43.358,85.7,0,0
1:04:17,41.882,85.6,0,0
1:04:18,41.072,85.55,0,0
1:04:19,39.812,82.3,0,0
1:04:20,38.732,82.3,0,0
1:04:21,37.004,85.4,0,0
1:04:22,36.518,92.15,0,0
1:04:23,36.41,92.15,0,0
1:05:00,36.788,92.15,0,0
1:05:01,36.914,88.7,0,0
1:05:02,36.608,88.65,0,0
1:05:03,35.924,88.65,0,0
1:05:04,35.78,85.3,0,0
1:05:05,35.708,85.3,0,0
1:05:06,36.086,82.15,0,0
1:05:07,36.644,82.15,0,0
1:05:08,36.608,85.35,0,0
1:05:09,37.436,85.4,0.1858,0.1858
1:05:10,38.966,82.3,6.5959,5.3882
1:05:11,40.946,79.3,2.8799,2.8799
1:05:12,42.926,79.4,3.2515,3.2515
1:05:13,44.294,76.65,2.787,2.787
1:05:14,45.05,76.7,2.4154,2.4154
1:05:15,45.32,79.65,0.929,0.929
1:05:16,45.698,82.65,0,0
1:05:17,45.572,85.8,0,0
1:05:18,45.68,89,0,0
1:05:19,45.716,89,0,0
1:05:20,45.518,89,0,0
1:05:21,45.572,89,0,0
1:05:22,44.654,85.75,0,0
1:05:23,44.798,85.75,0,0
1:06:00,45.014,82.65,0,0
1:06:01,45.698,85.8,0,0
1:06:02,46.22,85.85,0,0
1:06:03,46.814,92.4,0,0
1:06:04,47.264,92.4,0,0
1:06:05,47.516,92.4,0,0
1:06:06,47.714,92.4,0,0
1:06:07,47.3,95.85,0,0
1:06:08,47.3,95.85,0,0
1:06:09,47.534,95.85,1.5793,1.3006
1:06:10,48.38,99.4,3.6231,3.6231
1:06:11,48.938,95.85,11.2409,8.361
1:06:12,50.072,99.4,11.4267,9.5687
1:06:13,50.954,99.4,9.5687,8.7326
1:06:14,51.422,95.9,4.5521,4.5521
1:06:15,51.314,100,2.4154,2.4154
1:06:16,51.152,99.4,0,0
1:06:17,50.828,99.4,0,0
