temperature,humidity,
01:01:00,52.52,66
01:01:01,47.66,65
01:01:02,47.12,65
01:01:03,46.58,64
01:01:04,45.5,65
01:01:05,44.78,66
01:01:06,44.96,67
01:01:07,44.42,62
01:01:08,46.76,57
01:01:09,50.9,52
01:01:10,60.26,46
01:01:11,64.22,41
01:01:12,68,37
01:01:13,69.62,35
01:01:14,71.06,33
01:01:15,72.68,31
01:01:16,69.44,35
01:01:17,66.2,55
01:01:18,62.96,46
01:01:19,59.18,55
01:01:20,55.58,66
01:01:21,47.3,79
01:01:22,45.86,80
01:01:23,44.78,81
01:02:00,45.32,76
01:02:01,47.66,79
01:02:02,46.58,82
01:02:03,45.32,85
01:02:04,45.86,83
01:02:05,46.22,82
01:02:06,46.76,80
01:02:07,46.58,70
01:02:08,54.86,62
01:02:09,59,54
01:02:10,62.24,47
01:02:11,65.48,41
01:02:12,68.72,36
01:02:13,68.36,36
01:02:14,68,35
01:02:15,67.64,35
01:02:16,65.12,37
01:02:17,62.6,40
01:02:18,60.08,43
01:02:19,58.1,47
01:02:20,56.3,51
01:02:21,54.32,56
01:02:22,51.8,66
01:02:23,49.28,77
01:03:00,48.92,66
01:03:01,47.66,68
01:03:02,46.58,69
01:03:03,45.32,71
01:03:04,46.04,73
01:03:05,46.76,76
01:03:06,44.06,78
01:03:07,43.52,69
01:03:08,45.32,61
01:03:09,52.52,54
01:03:10,56.3,47
01:03:11,60.26,40
01:03:12,64.04,35
01:03:13,65.12,34
01:03:14,66.38,33
01:03:15,67.46,32
01:03:16,64.58,39
01:03:17,61.88,48
01:03:18,59,58
01:03:19,55.76,61
01:03:20,52.52,65
01:03:21,49.28,69
01:03:22,44.06,72
01:03:23,45.86,75
01:04:00,42.98,71
01:04:01,42.26,67
01:04:02,41.72,63
01:04:03,42.44,59
01:04:04,42.26,59
01:04:05,41.72,60
01:04:06,42.26,60
01:04:07,42.44,55
01:04:08,46.4,50
01:04:09,50.36,46
01:04:10,59.18,40
01:04:11,62.42,35
01:04:12,65.84,31
01:04:13,67.64,32
01:04:14,69.44,32
01:04:15,71.24,33
01:04:16,69.08,34
01:04:17,66.92,35
01:04:18,57.92,50
01:04:19,63.14,40
01:04:20,61.52,44
01:04:21,52.16,48
01:04:22,54.86,60
01:04:23,49.64,75
01:05:00,50.18,50
01:05:01,49.46,55
01:05:02,47.66,60
01:05:03,51.08,66
01:05:04,51.44,64
01:05:05,47.3,62
01:05:06,48.02,60
01:05:07,47.12,71
01:05:08,48.38,65
01:05:09,53.78,57
01:05:10,62.24,38
01:05:11,65.12,35
01:05:12,68,32
01:05:13,70.34,28
01:05:14,72.5,25
01:05:15,74.84,22
01:05:16,72.14,23
01:05:17,69.26,25
01:05:18,66.56,26
01:05:19,64.94,28
01:05:20,63.14,31
01:05:21,61.52,34
01:05:22,53.06,35
01:05:23,52.88,36
01:06:00,57.2,37
01:06:01,55.94,39
01:06:02,54.86,40
01:06:03,53.6,42
01:06:04,52.34,44
01:06:05,51.26,47
01:06:06,57.02,37
01:06:07,55.58,44
01:06:08,61.34,39
01:06:09,66.92,35
01:06:10,68.54,35
01:06:11,69.98,34
01:06:12,71.6,34
01:06:13,71.42,34
01:06:14,71.06,34
01:06:15,70.88,34
01:06:16,69.08,27
01:06:17,67.28,38
01:06:18,65.48,40
01:06:19,62.96,49
01:06:20,60.44,59
01:06:21,57.92,71
01:06:22,55.94,74
01:06:23,54.14,78
01:07:00,52.16,82
01:07:01,50.9,82
01:07:02,49.82,83
01:07:03,48.56,84
01:07:04,47.84,84
01:07:05,47.12,85
01:07:06,46.4,86
01:07:07,44.06,82
01:07:08,49.1,78
01:07:09,50.36,74
01:07:10,54.5,61
01:07:11,58.82,50
01:07:12,62.96,41
01:07:13,63.5,40
01:07:14,63.86,40
01:07:15,64.4,39
01:07:16,61.7,49
01:07:17,59.18,61
01:07:18,56.48,77
01:07:19,54.5,80
01:07:20,52.7,83
01:07:21,50.72,87
01:07:22,49.46,88
01:07:23,44.24,89
01:08:00,42.44,91
01:08:01,41.18,90
01:08:02,40.46,90
01:08:03,40.46,89
01:08:04,39.92,89
01:08:05,39.74,89
01:08:06,39.2,88
01:08:07,39.02,85
01:08:08,40.64,81
01:08:09,45.14,78
01:08:10,51.62,52
01:08:11,54.5,52
01:08:12,57.56,51
01:08:13,59.9,58
01:08:14,62.06,39
01:08:15,64.4,43
01:08:16,61.16,35
01:08:17,57.92,58
01:08:18,54.68,67
01:08:19,51.98,73
01:08:20,49.1,79
01:08:21,46.4,86
01:08:22,41.72,84
01:08:23,39.56,81
01:09:00,38.3,79
01:09:01,37.04,81
01:09:02,35.96,84
01:09:03,36.5,86
01:09:04,36.14,86
01:09:05,35.78,86
01:09:06,35.42,86
01:09:07,35.06,77
01:09:08,37.58,70
01:09:09,45.32,63
01:09:10,50.18,44
01:09:11,54.86,52
01:09:12,59.72,47
01:09:13,60.08,50
01:09:14,60.44,52
01:09:15,60.8,55
01:09:16,58.46,63
01:09:17,56.3,72
01:09:18,53.96,82
01:09:19,52.34,84
01:09:20,50.54,87
01:09:21,48.92,89
01:09:22,47.48,91
01:09:23,46.04,92
01:10:00,44.6,94
01:10:01,42.8,90
01:10:02,41,87
01:10:03,41.9,83
01:10:04,41.18,85
01:10:05,42.98,86
01:10:06,44.96,88
01:10:07,45.68,87
01:10:08,46.4,87
01:10:09,47.12,86
01:10:10,50,79
01:10:11,52.88,72
01:10:12,55.76,66
01:10:13,56.84,65
01:10:14,57.92,65
01:10:15,59,64
01:10:16,57.02,71
01:10:17,55.22,77
01:10:18,53.24,85
01:10:19,51.26,86
01:10:20,49.1,88
01:10:21,47.12,89
01:10:22,45.86,90
01:10:23,41.54,90
01:11:00,40.28,91
01:11:01,39.74,91
01:11:02,38.48,90
01:11:03,38.12,90
01:11:04,37.94,91
01:11:05,37.04,92
01:11:06,36.86,93
01:11:07,38.12,91
01:11:08,40.82,88
01:11:09,41.9,86
01:11:10,52.88,61
01:11:11,56.12,74
01:11:12,53.6,69
01:11:13,54.86,67
01:11:14,55.94,65
01:11:15,57.2,63
01:11:16,55.04,54
01:11:17,53.06,73
01:11:18,50.9,78
01:11:19,50.9,78
01:11:20,50.9,79
01:11:21,50.9,79
01:11:22,50.9,80
01:11:23,50.9,80
01:12:00,50.9,81
01:12:01,50.54,82
01:12:02,50.36,83
01:12:03,50,84
01:12:04,50.18,83
01:12:05,50.18,83
01:12:06,50.36,82
01:12:07,51.08,77
01:12:08,51.8,72
01:12:09,52.52,68
01:12:10,53.96,65
01:12:11,55.4,63
01:12:12,56.84,60
01:12:13,57.74,60
01:12:14,58.64,59
01:12:15,59.54,59
01:12:16,57.92,61
01:12:17,56.48,64
01:12:18,54.86,67
01:12:19,52.88,72
01:12:20,50.9,78
01:12:21,48.92,84
01:12:22,48.38,85
01:12:23,47.66,85
01:13:00,47.12,86
01:13:01,47.3,84
01:13:02,47.3,83
01:13:03,47.48,81
01:13:04,47.66,80
01:13:05,48.02,80
01:13:06,48.2,80
01:13:07,48.02,81
01:13:08,48.02,82
01:13:09,47.84,84
01:13:10,50.72,76
01:13:11,53.6,70
01:13:12,56.48,64
01:13:13,57.74,61
01:13:14,58.82,58
01:13:15,60.08,55
01:13:16,58.46,60
01:13:17,56.66,65
01:13:18,55.04,70
01:13:19,53.96,73
01:13:20,52.88,76
01:13:21,45.86,79
01:13:22,44.6,80
01:13:23,42.98,81
01:14:00,41.72,82
01:14:01,40.1,84
01:14:02,38.66,86
01:14:03,39.56,88
01:14:04,38.66,89
01:14:05,37.4,91
01:14:06,37.04,92
01:14:07,36.32,85
01:14:08,39.02,78
01:14:09,42.8,72
01:14:10,52.16,62
01:14:11,57.56,53
01:14:12,62.96,46
01:14:13,62.78,41
01:14:14,62.78,36
01:14:15,62.6,32
01:14:16,60.8,34
01:14:17,59,35
01:14:18,57.2,37
01:14:19,54.68,41
01:14:20,52.16,46
01:14:21,49.64,52
01:14:22,49.1,53
01:14:23,48.74,54
01:15:00,48.2,55
01:15:01,46.4,59
01:15:02,44.42,64
01:15:03,42.62,68
01:15:04,42.44,69
01:15:05,42.26,69
01:15:06,42.08,69
01:15:07,40.28,66
01:15:08,41.72,64
01:15:09,45.68,61
01:15:10,50.72,51
01:15:11,55.76,44
01:15:12,60.8,37
01:15:13,61.16,35
01:15:14,61.52,34
01:15:15,61.88,32
01:15:16,59.9,36
01:15:17,57.74,41
01:15:18,55.76,47
01:15:19,55.58,53
01:15:20,55.22,60
01:15:21,55.04,68
01:15:22,48.38,75
01:15:23,51.62,84
01:16:00,49.82,93
01:16:01,49.28,94
01:16:02,45.14,95
01:16:03,48.2,96
01:16:04,44.42,95
01:16:05,44.96,93
01:16:06,44.42,92
01:16:07,44.78,91
01:16:08,48.56,89
01:16:09,48.56,87
01:16:10,50.72,76
01:16:11,52.88,67
01:16:12,55.04,58
01:16:13,54.86,58
01:16:14,54.86,58
01:16:15,54.68,58
01:16:16,53.96,59
01:16:17,53.24,61
01:16:18,52.52,62
01:16:19,51.98,64
01:16:20,51.26,65
01:16:21,50.72,67
01:16:22,50.18,74
01:16:23,49.82,81
01:17:00,49.28,89
01:17:01,48.74,89
01:17:02,48.38,89
01:17:03,47.84,89
01:17:04,48.56,87
01:17:05,49.28,86
01:17:06,50,84
01:17:07,50.54,80
01:17:08,51.26,77
01:17:09,51.8,73
01:17:10,53.42,69
01:17:11,55.22,66
01:17:12,56.84,62
01:17:13,57.2,63
01:17:14,57.56,63
01:17:15,57.92,63
01:17:16,57.38,64
01:17:17,56.66,65
01:17:18,56.12,66
01:17:19,55.4,69
01:17:20,54.86,71
01:17:21,54.14,74
01:17:22,53.24,80
01:17:23,52.16,86
01:18:00,51.26,92
01:18:01,51.08,92
01:18:02,50.9,93
01:18:03,50.72,93
01:18:04,50.18,94
01:18:05,49.82,95
01:18:06,49.28,96
01:18:07,50,94
01:18:08,50.54,93
01:18:09,51.26,91
01:18:10,54.5,62
01:18:11,57.56,70
01:18:12,60.8,61
01:18:13,61.52,57
01:18:14,62.24,53
01:18:15,62.96,49
01:18:16,60.26,56
01:18:17,57.56,63
01:18:18,54.86,72
01:18:19,53.42,77
01:18:20,52.16,82
01:18:21,50.72,88
01:18:22,46.04,89
01:18:23,45.5,91
01:19:00,48.2,92
01:19:01,44.06,92
01:19:02,42.8,93
01:19:03,45.68,93
01:19:04,44.42,93
01:19:05,43.34,94
01:19:06,42.08,94
01:19:07,40.1,90
01:19:08,44.96,86
01:19:09,46.4,83
01:19:10,50,75
01:19:11,53.6,68
01:19:12,57.2,62
01:19:13,58.82,56
01:19:14,60.26,52
01:19:15,61.88,47
01:19:16,59.9,52
01:19:17,57.74,58
01:19:18,55.76,64
01:19:19,53.06,68
01:19:20,50.54,74
01:19:21,44.24,79
01:19:22,41.36,80
01:19:23,39.74,82
01:20:00,39.2,83
01:20:01,38.84,84
01:20:02,37.76,86
01:20:03,38.84,87
01:20:04,38.84,88
01:20:05,39.92,89
01:20:06,39.2,90
01:20:07,38.3,81
01:20:08,41.54,74
01:20:09,47.48,67
01:20:10,52.7,59
01:20:11,57.74,53
01:20:12,62.96,47
01:20:13,63.86,46
01:20:14,64.76,46
01:20:15,65.66,45
