temperature,humidity,solar_global,solar_diffuse,
1:01:00,14.36,92,0,0
1:01:01,23.9,95,0,0
1:01:02,23.9,95,0,0
1:01:03,23.72,95,0,0
1:01:04,23.72,95,0,0
1:01:05,23.54,95,0,0
1:01:06,23.36,95,0,0
1:01:07,22.82,97,2.1367,1.9509
1:01:08,22.82,97,7.432,6.9675
1:01:09,22.28,99,10.9622,10.4977
1:01:10,22.64,97,10.219,10.219
1:01:11,23,95,10.4977,10.4977
1:01:12,23.18,95,9.9403,9.8474
1:01:13,23.36,95,9.1042,8.8255
1:01:14,23.72,95,5.3882,5.0166
1:01:15,24.08,95,0,0
1:01:16,24.08,95,0,0
1:01:17,24.08,95,0,0
1:01:18,24.08,95,0,0
1:01:19,24.26,95,0,0
1:01:20,24.62,96,0,0
1:01:21,24.44,96,0,0
1:01:22,24.62,96,0,0
1:01:23,30.2,90,0,0
1:02:00,35.6,87,0,0
1:02:01,26.24,97,0,0
1:02:02,26.24,96,0,0
1:02:03,26.42,95,0,0
1:02:04,26.42,94,0,0
1:02:05,26.96,97,0,0
1:02:06,27.14,95,0,0
1:02:07,26.78,97,2.0438,1.9509
1:02:08,26.96,95,6.5959,6.4101
1:02:09,27.5,93,8.2681,8.2681
1:02:10,28.04,94,9.1971,9.1971
1:02:11,28.94,94,7.1533,7.1533
1:02:12,29.48,92,8.1752,8.1752
1:02:13,30.02,90,7.7107,7.6178
1:02:14,30.74,89,4.4592,4.3663
1:02:15,31.1,91,0,0
1:02:16,30.92,94,0,0
1:02:17,30.92,95,0,0
1:02:18,30.92,95,0,0
1:02:19,31.82,92,0,0
1:02:20,31.28,94,0,0
1:02:21,29.48,90,0,0
1:02:22,28.04,94,0,0
1:02:23,35.78,88,0,0
1:03:00,43.7,82,0,0
1:03:01,24.98,96,0,0
1:03:02,23.18,97,0,0
1:03:03,21.56,97,0,0
1:03:04,19.76,98,0,0
1:03:05,18.14,97,0,0
1:03:06,20.48,98,0,0
1:03:07,22.28,99,2.3225,2.0438
1:03:08,24.08,100,4.3663,4.3663
1:03:09,24.44,97,7.7107,7.7107
1:03:10,25.16,96,10.9622,10.8693
1:03:11,25.7,96,10.5906,10.5906
1:03:12,26.6,97,10.219,10.1261
1:03:13,27.5,98,9.0113,8.8255
1:03:14,27.5,98,5.574,5.2953
1:03:15,32.18,97,0,0
1:03:16,27.14,97,0,0
1:03:17,28.04,95,0,0
1:03:18,28.22,91,0,0
1:03:19,28.4,85,0,0
1:03:20,28.22,84,0,0
1:03:21,24.8,88,0,0
1:03:22,21.56,91,0,0
1:03:23,30.56,89,0,0
1:04:00,39.74,88,0,0
1:04:01,23.9,93,0,0
1:04:02,24.26,93,0,0
1:04:03,24.8,93,0,0
1:04:04,25.16,93,0,0
1:04:05,25.52,92,0,0
1:04:06,24.62,89,0,0
1:04:07,25.16,89,2.2296,2.0438
1:04:08,25.7,85,16.2575,4.645
1:04:09,26.24,83,15.0498,12.8202
1:04:10,26.06,81,7.7107,7.7107
1:04:11,26.06,79,14.7711,14.1208
1:04:12,26.24,79,15.3285,14.0279
1:04:13,27.68,70,15.3285,11.6125
1:04:14,28.94,65,10.8693,5.3882
1:04:15,28.4,66,0,0
1:04:16,26.6,73,0,0
1:04:17,23.72,79,0,0
1:04:18,23.9,86,0,0
1:04:19,25.7,83,0,0
1:04:20,26.96,77,0,0
1:04:21,26.96,82,0,0
1:04:22,26.42,87,0,0
1:04:23,31.46,89,0,0
1:05:00,36.32,91,0,0
1:05:01,25.88,87,0,0
1:05:02,25.88,87,0,0
1:05:03,26.06,86,0,0
1:05:04,26.06,85,0,0
1:05:05,25.88,85,0,0
1:05:06,25.88,85,0,0
1:05:07,26.06,85,2.3225,2.0438
1:05:08,25.88,87,8.361,7.5249
